Text;TEI type;ADJ;ADVB;INTJ;NOUN;PREP;VERB
«да куда ж он делся-то, господи?»;setting;0.0;0.0;0.0;0.18181818181818185;0.0;0.09090909090909093
«дома, что ли-ча, лазарь?»;setting;0.0;0.0;0.0;0.2;0.0;0.0
автор опять испуганно высовывается, но быстро исчезает, как будто его оттянул кто-то за фалды;mixed;0.0;0.16666666666666666;0.0;0.1111111111111111;0.05555555555555555;0.16666666666666666
автор хочет соединить руки коломбины и пьеро. но внезапно все декорации взвиваются и улетают вверх. маски разбегаются. автор оказывается склоненным над одним только пьеро, который беспомощно лежит на пустой сцене в белом балахоне своем с красными пуговицами. заметив свое положение, автор убегает стремительно;setting;0.14285714285714285;0.08163265306122447;0.0;0.2857142857142857;0.08163265306122447;0.16326530612244894
аграфена кондратьевна и липочка (разряженная;modifier;0.0;0.0;0.0;0.5;0.0;0.0
аграфена кондратьевна и устинья наумовна;modifier;0.0;0.0;0.0;0.8;0.0;0.0
"аграфена кондратьевна с водкой; тишка вносит закуску и уходит";setting;0.0;0.0;0.0;0.5;0.1;0.2
аграфена кондратьевна уходит;exit;0.0;0.0;0.0;0.6666666666666666;0.0;0.3333333333333333
аграфена кондратьевна уходит с олимпиадой самсоновной;exit;0.0;0.0;0.0;0.6666666666666666;0.16666666666666666;0.16666666666666666
анна андреевна и марья антоновна;modifier;0.0;0.0;0.0;0.8;0.0;0.0
анна андреевна и марья антоновна вбегают на сцену;entrance;0.0;0.0;0.0;0.625;0.125;0.125
анна андреевна, марья антоновна стоят у окна в тех же самых положениях;setting;0.15384615384615385;0.0;0.0;0.4615384615384616;0.15384615384615385;0.07692307692307693
арлекин выступает из хора, как корифей;business;0.0;0.0;0.0;0.42857142857142855;0.14285714285714285;0.14285714285714285
"астров и соня уходят в дом; мария васильевна и телегин остаются возле стола; елена андреевна и войницкий идут к террасе";mixed;0.09090909090909093;0.045454545454545456;0.0;0.4090909090909091;0.09090909090909093;0.13636363636363635
астров пьет водку;business;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
астрову;delivery;0.0;0.0;0.0;1.0;0.0;0.0
бал. маски кружатся под тихие звуки танца. среди них прогуливаются другие маски, рыцари, дамы, паяцы. грустный пьеро сидит среди сцены на той скамье, где обыкновенно целуются венера и тангейзер;setting;0.1111111111111111;0.05555555555555555;0.0;0.3611111111111111;0.1111111111111111;0.1111111111111111
бегает за ней;business;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333
бежит вперед;business;0.0;0.5;0.0;0.0;0.0;0.5
бежит и кричит в дверь;delivery;0.0;0.0;0.0;0.2;0.2;0.4
берет бокал;business;0.0;0.0;0.0;0.5;0.0;0.5
берет вместо шляпы футляр;business;0.0;0.0;0.0;0.5;0.25;0.25
берет войницкого под руку;business;0.25;0.0;0.0;0.25;0.25;0.25
берет газету;business;0.0;0.0;0.0;0.5;0.0;0.5
берет его за руку;business;0.0;0.0;0.0;0.25;0.25;0.25
берет его под руку и идет вместе;business;0.0;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.2857142857142857
берет его под руку и отводит в сторону;business;0.0;0.0;0.0;0.25;0.25;0.25
берет ее за руку;business;0.0;0.0;0.0;0.25;0.25;0.25
берет ее за руку, оглядывается;business;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.3333333333333333
берет ее за талию;business;0.0;0.0;0.0;0.25;0.25;0.25
берет и рассматривает ассигнации;business;0.0;0.0;0.0;0.25;0.0;0.5
берет липочку насильно за руку и лазаря;business;0.0;0.14285714285714285;0.0;0.42857142857142855;0.14285714285714285;0.14285714285714285
берет письмо;business;0.0;0.0;0.0;0.5;0.0;0.5
берет с его стола карандаш и быстро прячет;business;0.0;0.125;0.0;0.25;0.125;0.25
берет чернильницу, идет к шкапу и наливает чернил;business;0.0;0.0;0.0;0.3333333333333333;0.1111111111111111;0.3333333333333333
бобчинский выставляет голову в дверь;business;0.2;0.0;0.0;0.4;0.2;0.2
бобчинский и добчинский проталкиваются;business;0.25;0.0;0.0;0.25;0.0;0.25
бодрится;business;0.0;0.0;0.0;0.0;0.0;1.0
бодрится и выпрямливается;business;0.0;0.0;0.0;0.0;0.0;0.6666666666666666
большов и подхалюзин;modifier;0.0;0.0;0.0;0.6666666666666666;0.0;0.0
большов и рисположенский;modifier;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0
большов хохочет. устинья наумовна отходит с липочкой на другую сторону сцены. устинья наумовна рассматривает ее платье;business;0.05555555555555555;0.0;0.0;0.5;0.1111111111111111;0.16666666666666666
бормочет вполголоса, пробегая скоро глазами;delivery;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.16666666666666666
бросается на колени;business;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
бросая коробку;business;0.0;0.0;0.0;0.5;0.0;0.0
будируя;delivery;0.0;0.0;0.0;0.0;0.0;0.0
быстро подходит к войницкому;business;0.25;0.25;0.0;0.0;0.25;0.25
"быстро уходит; телегин идет за ним";exit;0.0;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.2857142857142857
быстрым, отрывистым голосом;delivery;0.5;0.0;0.0;0.25;0.0;0.0
бьет револьвером об пол и в изнеможении садится на стул;business;0.0;0.0;0.0;0.4;0.3;0.2
бьет рукою по ковру;business;0.0;0.0;0.0;0.5;0.25;0.25
бьет себя по лбу;business;0.0;0.0;0.0;0.25;0.25;0.25
в доме подхалюзина богато меблированная гостиная;setting;0.3333333333333333;0.16666666666666666;0.0;0.3333333333333333;0.16666666666666666;0.0
в исступлении;delivery;0.0;0.0;0.0;0.5;0.5;0.0
в недоумении;delivery;0.0;0.0;0.0;0.5;0.5;0.0
в недоумении расставляет руки;business;0.0;0.0;0.0;0.5;0.25;0.25
в неподдельном ужасе;delivery;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
в окно;location;0.0;0.0;0.0;0.5;0.5;0.0
в окно;delivery;0.0;0.0;0.0;0.5;0.5;0.0
