text;setting;entrance;exit;business;delivery;modifier;location;unknown;play;year
Игроки, князь Звездич, Казарин и Шприх. За столом мечут банк и понтируют... Кругом стоят.;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(тихо первому);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(насмешливо);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(сквозь зубы, уходя);0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь, выпив стакан лимонаду, садится к стороне и задумывается.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(подходит с участием);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь холодно кланяется и отворачивается. Шприх с неудовольствием уходит.;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин и прочие.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин входит, кланяется, подходя к столу, потом делает некоторые знаки и отходит с Казариным.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Шприх подходит и кланяется;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Раскланиваются опять. Шприх, скорчив кислую мину, уходит.;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(кричат);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(С притворным участием.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Живой разговор между игроками, потом успокаиваются. Арбенин замечает князя Звездича и подходит.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(недовольно);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(с чувством берет его за руку);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Молчание. Князь едва его слушал и был в волнении.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(вдруг берет его за руку);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Смотрит на него пристально.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Переменив тон.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Подходит к столу. ему дают место.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Тихо.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(на ухо второму);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Игра начинается. все толпятся вокруг стола, иногда разные возгласы, в продолжение следующего разговора многие мрачно отходят от стола. Шприх отводит на авансцену Казарина.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(лукаво);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(ударив по плечу);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Два игрока в живом разговоре подходят.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
