text;setting;entrance;exit;business;delivery;modifier;location;unknown;play;year;lemmas;clean_lemmas;pos;ner_lemmas;ner_pos
Игроки, князь Звездич, Казарин и Шприх. За столом мечут банк и понтируют... Кругом стоят.;1;0;0;1;0;0;0;0;lermontov-maskarad;1842;['игрок', 'князь', 'звездич', 'казарин', 'и', 'шприх', 'за', 'стол', 'метать', 'банк', 'и', 'понтировать', 'кругом', 'стоять'];['игрок', 'князь', 'звездич', 'казарин', 'шприх', 'стол', 'метать', 'банк', 'понтировать', 'кругом', 'стоять'];['S', 'S', 'S', 'S', 'S', 'S', 'V', 'S', 'V', 'ADV', 'V'];['игрок', 'князь', 'Имя', 'Имя', 'шприх', 'стол', 'метать', 'банк', 'понтировать', 'кругом', 'стоять'];['S', 'S', 'PERSN', 'PERSN', 'S', 'S', 'V', 'S', 'V', 'ADV', 'V']
(тихо первому);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['тихо', 'первый'];['тихо', 'первый'];['ADV', 'ANUM'];['тихо', 'первый'];['ADV', 'ANUM']
(насмешливо);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['насмешливо'];['насмешливо'];['ADV'];['насмешливо'];['ADV']
(сквозь зубы, уходя);0;0;1;0;1;0;0;0;lermontov-maskarad;1842;['сквозь', 'зуб', 'уходить'];['сквозь', 'зуб', 'уходить'];['PR', 'S', 'V'];['сквозь', 'зуб', 'уходить'];['PR', 'S', 'V']
Князь, выпив стакан лимонаду, садится к стороне и задумывается.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['князь', 'выпивать', 'стакан', 'лимонад', 'садиться', 'к', 'сторона', 'и', 'задумываться'];['князь', 'выпивать', 'стакан', 'лимонад', 'садиться', 'сторона', 'задумываться'];['S', 'V', 'S', 'S', 'V', 'S', 'V'];['князь', 'выпивать', 'стакан', 'лимонад', 'садиться', 'сторона', 'задумываться'];['S', 'V', 'S', 'S', 'V', 'S', 'V']
(подходит с участием);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['подходить', 'с', 'участие'];['подходить', 'участие'];['V', 'S'];['подходить', 'участие'];['V', 'S']
Князь холодно кланяется и отворачивается. Шприх с неудовольствием уходит.;0;0;1;1;0;0;0;0;lermontov-maskarad;1842;['князь', 'холодно', 'кланяться', 'и', 'отворачиваться', 'шприх', 'с', 'неудовольствие', 'уходить'];['князь', 'холодно', 'кланяться', 'отворачиваться', 'шприх', 'неудовольствие', 'уходить'];['S', 'ADV', 'V', 'V', 'S', 'S', 'V'];['князь', 'холодно', 'кланяться', 'отворачиваться', 'шприх', 'неудовольствие', 'уходить'];['S', 'ADV', 'V', 'V', 'S', 'S', 'V']
Арбенин и прочие.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['арбенин', 'и', 'прочий'];['арбенин', 'прочий'];['S', 'A'];['Имя', 'прочий'];['PERSN', 'A']
Арбенин входит, кланяется, подходя к столу, потом делает некоторые знаки и отходит с Казариным.;0;1;0;1;0;0;0;0;lermontov-maskarad;1842;['арбенин', 'входить', 'кланяться', 'подходить', 'к', 'стол', 'потом', 'делать', 'некоторый', 'знак', 'и', 'отходить', 'с', 'казарин'];['арбенин', 'входить', 'кланяться', 'подходить', 'стол', 'делать', 'некоторый', 'знак', 'отходить', 'казарин'];['S', 'V', 'V', 'V', 'S', 'V', 'APRO', 'S', 'V', 'S'];['Имя', 'входить', 'кланяться', 'подходить', 'стол', 'делать', 'некоторый', 'знак', 'отходить', 'Имя'];['PERSN', 'V', 'V', 'V', 'S', 'V', 'APRO', 'S', 'V', 'PERSN']
Шприх подходит и кланяется;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['шприх', 'подходить', 'и', 'кланяться'];['шприх', 'подходить', 'кланяться'];['S', 'V', 'V'];['шприх', 'подходить', 'кланяться'];['S', 'V', 'V']
