text;setting;entrance;exit;business;delivery;modifier;location;unknown
Часть парка в имении Сорина. Широкая аллея, ведущая по направлению от зрителей в глубину парка к озеру, загорожена эстрадой, наскоро сколоченной для домашнего спектакля, так что озера совсем не видно. Налево и направо у эстрады кустарник. Несколько стульев, столик.;1;;;;;;;
Только что зашло солнце. На эстраде за опущенным занавесом Яков и другие работники . слышатся кашель и стук. Маша и Медведенко идут слева, возвращаясь с прогулки.;1;;;1;;;;
(В раздумье.);;;;1;;;;
(Садятся.);;;;1;;;;
(оглядываясь на эстраду);;;;1;;;;
(Нюхает табак.);;;;1;;;;
(Протягивает ему табакерку.);;;;1;;;;
Пауза.;;;;1;;;;
Входят справа Сорин и Треплев.;;1;;;;;;
(опираясь на трость);;;;1;;;;
(Смеется.);;;;1;;;;
(Увидев Машу и Медведенка.);;;;1;;;;
(Маше);;;;;1;;;
(Медведенку.);;;;;1;;;
(Треплеву);;;;;1;;;
(Оба уходят.);;;1;;;;;
(Смеется.);;;;1;;;;
(Треплеву);;;;;1;;;
(Смотрит на часы.);;;;1;;;;
(Уходит.);;;1;;;;;
(окидывая взглядом эстраду);;;;1;;;;
(Поправляет дяде галстук.);;;;1;;;;
(расчесывая бороду);;;;1;;;;
(Садясь.);;;;1;;;;
(Садясь рядом.);;;;1;;;;
(смеется);;;;1;;;;
(Посмотрев на часы.);;;;1;;;;
(обрывая у цветка лепестки);;;;1;;;;
(Смеется.);;;;1;;;;
(Смотрит на часы.);;;;1;;;;
(прислушивается);;;;1;;;;
(Обнимает дядю.);;;;1;;;;
(Быстро идет навстречу Нине Заречной, которая входит.);;1;;1;;;;
(взволнованно);;;;;1;;;
(целуя ее руки);;;;1;;;;
(Смеется.);;;;1;;;;
(Крепко жмет руку Сорина.);;;;1;;;;
(смеется);;;;1;;;;
(Идет вправо и поет.);;;;1;;;;
(Оглядывается.);;;;1;;;;
(Смеется и уходит.);;;1;1;;;;
(Оглядывается.);;;;1;;;;
Поцелуй.;;;;1;;;;
