text;setting;entrance;exit;business;delivery;modifier;location;unknown
Сад. Видна часть дома с террасой. На аллее под старым тополем стол, сервированный для чая, скамьи, стулья. на одной из скамей лежит гитара. Недалеко от стола качели. – Третий час дня. Пасмурно.;1;;;;;;;
Марина (сырая, малоподвижная старушка, сидит у самовара, нижет чулок) и Астров (ходит возле).;;1;;1;;;;
(наливает стакан).;;;;1;;;;
(нехотя принимает стакан).;;;;1;;;;
Пауза.;;;;1;;;;
(раздумывая).;;;;1;;;;
(Подумав.);;;;1;;;;
(Закручивая свои длинные усы.);;;;1;;;;
(Целует ее в голову.);;;;1;;;;
Входит Войницкий.;;1;;;;;;
(выходит из дому. он выспался после завтрака и имеет помятый вид. садится на скамью, поправляет свой щегольской галстук).;;;1;1;;;;
Пауза.;;;;1;;;;
(Зевает.);;;;1;;;;
(покачав головой).;;;;1;;;;
(свистит).;;;;1;;;;
Слышны голоса. из глубины сада, возвращаясь о прогулки, идут Серебряков, Елена Андреевна, Соня и Телегин.;;1;;1;;;1;
Елена Андреевна, Серебряков и Соня уходят в дом. Телегин идет к столу и садится возле Марины.;;;1;1;;;;
(Принимая стакан.);;;;1;;;;
(мечтательно).;;;;;1;;;
(вяло).;;;;;1;;;
(Нервно.);;;;;1;;;
(плачущим голосом).;;;;;1;;;
(с досадой).;;;;1;;;;
Входят Соня и Елена Андреевна . немного погодя входит Мария Васильевна с книгой. она садится и читает. ей дают чаю, и она пьет не глядя.;;1;;1;;;;
(торопливо, няне).;;;;;1;;;
(Наливает чай.);;;;1;;;;
Няня уходит, Елена Андреевна берет свою чашку и пьет, сидя на качелях.;;;1;1;;;;
(Елене Андреевне).;;;;;1;;;
(Пьет.);;;;1;;;;
(Нежно.);;;;;1;;;
Пауза.;;;;1;;;;
(сыну).;;;;;1;;;
(умоляюще).;;;;1;;;;
Пауза.;;;;1;;;;
Пауза.;;;;1;;;;
Телегин настраивает гитару. Марина ходит около дома и кличет кур.;;;;1;;;;
(Уходит.);;;1;;;;;
Телегин играет польку. все молча слушают. входит работник.;;1;;1;;;;
(Астрову.);;;;;1;;;
(с досадой).;;;;1;;;;
(Ищет глазами фуражку.);;;;1;;;;
(Работнику.);;;;;1;;;
уходит.;;;1;;;;;
(Нашел фуражку.);;;;1;;;;
(Елене Андреевне.);;;;;1;;;
(с иронией).;;;;;1;;;
(Астрову).;;;;;1;;;
(смеясь).;;;;1;;;;
(Астрову);;;;;1;;;
(Елене Андреевне.);;;;;1;;;
(Войницкому.);;;;;1;;;
(Увидев работника, который принес на подносе рюмку водки.);;1;;1;;;;
(пьет);;;;1;;;;
(Идет к дому.);;;;1;;;;
(берет его под руку и идет вместе).;;;;1;;;;
Астров и Соня уходят в дом. Мария Васильевна и Телегин остаются возле стола. Елена Андреевна и Войницкий идут к террасе.;;;1;1;;;1;
Пауза.;;;;1;;;;
Идут в дом.;;;;1;;;;
(идя за нею).;;;;1;;;;
Оба уходят в дом.;;;1;;;;;
Телегин бьет по струнам и играет польку. Мария Васильевна что-то записывает на полях брошюры.;;;;1;;;;
Столовая в доме Серебрякова. – Ночь. – Слышно, как в саду стучит сторож.;1;;;;;;;
Серебряков (сидит в кресле перед открытым окном и дремлет) и Елена Андреевна (сидит подле него и тоже дремлет).;;1;;1;;;;
(очнувшись).;;;;1;;;;
(Кутает ему ноги.);;;;1;;;;
Пауза.;;;;1;;;;
Елена Андреевна отходит и садится поодаль.;;;;1;;;;
(сквозь слезы).;;;;1;;;;
Окно хлопает от ветра.;;;;1;;;;
(Закрывает.);;;;1;;;;
Пауза. сторож в саду стучит и поет песню.;1;;;1;;;;
Входит Соня.;;1;;;;;;
(Садится.);;;;1;;;;
