text;setting;entrance;exit;business;delivery;modifier;location;unknown
В доме Прозоровых. Гостиная с колоннами, за которыми виден большой зал. Полдень. на дворе солнечно, весело. В зале накрывают стол для завтрака.;1;;;;;;1;
Ольга в синем форменном платье учительницы женской гимназии, все время поправляет ученические тетрадки, стоя и на ходу. Маша в черном платье, со шляпкой на коленях сидит и читает книжку, Ирина в белом платье стоит задумавшись.;;1;;1;;;;
(Часы бьют двенадцать.);;;;1;;;;
Пауза.;;;;1;;;;
За колоннами, в зале около стола показываются барон Тузенбах, Чебутыкин и Соленый.;;1;;;;;;
Маша, задумавшись над книжкой, тихо насвистывает песню.;;;;1;;;;
Пауза.;;;;1;;;;
Чебутыкин и Тузенбах смеются.;;;;1;;;;
Маша тихо насвистывает песню.;;;;1;;;;
(Глядя в окно.);;;;1;;;;
Пауза.;;;;1;;;;
(Соленому).;;;;;1;;;
(Входя в гостиную.);;1;;;;;;
(Садится у пианино.);;;;1;;;;
(Тихо наигрывает.);;;;1;;;;
(входя из залы в гостиную с Чебутыкиным).;;1;;;;;;
(читает на ходу газету).;;;;1;;;;
(Записывает в книжку.);;;;1;;;;
(Соленому.);;;;;1;;;
(целуя ей обе руки, нежно).;;;;1;1;;;
(нежно).;;;;;1;;;
(Смеется.);;;;1;;;;
(Вынимает из кармана флакон с духами и опрыскивает себе грудь, руки.);;;;1;;;;
(смеется).;;;;1;;;;
(Вынимает из кармана другую газету.);;;;1;;;;
Слышно, как стучат в пол из нижнего этажа.;;;;1;;;1;
(Торопливо уходит, расчесывая бороду.);;;1;;;;;
(Встает и напевает тихо.);;;;1;1;;;
Маша, напевая, надевает шляпу.;;;;1;;;;
(Целует Ирину.);;;;1;;;;
(Смеясь сквозь слезы.);;;;1;;;;
(недовольная).;;;;1;;;;
(со слезами).;;;;1;;;;
Пауза.;;;;1;;;;
(Ольге, сердито).;;;;;1;;;
Входят Анфиса и Ферапонт с тортом.;;1;;;;;;
(Ирине.);;;;;1;;;
(Принимает торт.);;;;1;;;;
(громче).;;;;;1;;;
(Уходит с Ферапонтом.);;;1;;;;;
Входит Чебутыкин, за ним солдат с серебряным самоваром. гул изумления и недовольства.;;1;;1;;;;
(закрывает лицо руками).;;;;1;;;;
(Уходит в залу к столу.);;;;1;;;;
(смеется).;;;;1;;;;
(Ирине.);;;;;1;;;
(сквозь слезы, сердито).;;;;1;1;;;
(Денщику.);;;;;1;;;
(Дразнит.);;;;1;;;;
Денщик уносит самовар в залу.;;;1;;;;;
(проходя через гостиную).;;;;1;;;;
(Уходя.);;;1;;;;;
Входит Вершинин.;;1;;;;;;
(Маше и Ирине).;;;;;1;;;
(весело).;;;;;1;;;
(Маше.);;;;;1;;;
(Кричит в залу.);;;;1;;;;
Ольга входит из залы в гостиную.;;1;;;;;1;
Обе смеются от радости.;;;;1;;;;
(Живо.);;;;;1;;;
(смеется).;;;;1;;;;
(Сквозь слезы.);;;;1;;;;
(Сквозь слезы.);;;;1;;;;
Пауза.;;;;1;;;;
Все глядят на него.;;;;1;;;;
Неловкое молчание.;;;;1;;;;
Пауза.;;;;1;;;;
(тонким голосом.);;;;;1;;;
(Садится на другое место.);;;;1;;;;
(тонким голосом).;;;;1;;;;
(Вершинину).;;;;;1;;;
(Встает.);;;;1;;;;
За сценой игра на скрипке.;;;;1;;;1;
(В боковую дверь.);;;;;;;1;
Входит Андрей.;;1;;;;;;
(Утирает вспотевшее лицо.);;;;1;;;;
(Показывает рамочку.);;;;1;;;;
(глядя на рамочку и не зная, что сказать).;;;;1;;;;
Андрей машет рукой и отходит.;;;;1;;;;
Маша и Ирина берут его под руки и со смехом ведут назад.;;;;1;;;;
(аплодируя).;;;;1;;;;
(подходит сзади к Андрею и берет его обеими руками за талию).;;;;1;;;;
(Хохочет. он все время с газетой.);;;;1;;;;
(Утирает лицо.);;;;1;;;;
(Смеется.);;;;1;;;;
(Смеется.);;;;1;;;;
(снимает шляпу).;;;;1;;;;
(со вздохом).;;;;;1;;;
Андрея нет, он незаметно ушел.;;;1;;;;;
(встает).;;;;1;;;;
(Оглядываясь.);;;;1;;;;
(Потирает руки.);;;;1;;;;
Пауза.;;;;1;;;;
