text;setting;entrance;exit;business;delivery;modifier;location;unknown
Комната, которая до сих пор называется детскою. Одна из дверей ведет в комнату Ани. Рассвет, скоро взойдет солнце. Уже май, цветут вишневые деревья, но в саду холодно, утренник. Окна в комнате закрыты.;1;;;;;;;
Входят Дуняша со свечой и Лопахин с книгой в руке.;;1;;;;;;
(Тушит свечу.);;;;1;;;;
(Зевает и потягивается.);;;;1;;;;
(Прислушивается.);;;;1;;;;
(прислушивается).;;;;1;;;;
Пауза.;;;;1;;;;
Пауза.;;;;1;;;;
(Перелистывает книгу.);;;;1;;;;
Пауза.;;;;1;;;;
Входит Епиходов с букетом. он в пиджаке и в ярко вычищенных сапогах, которые сильно скрипят. войдя, он роняет букет.;;1;;1;;;;
(поднимает букет).;;;;1;;;;
(Отдает Дуняше букет.);;;;1;;;;
(Уходит.);;;1;;;;;
(Вздыхает.);;;;1;;;;
Дуняша входит, подает Лопахину квас.;;1;;1;;;;
(Натыкается на стул, который падает.);;;;1;;;;
(Как бы торжествуя.);;;;1;;;;
(Уходит.);;;1;;;;;
(прислушивается).;;;;1;;;;
(в волнении).;;;;1;;;;
Слышно, как к дому подъезжают два экипажа. Лопахин и Дуняша быстро уходят. Сцена пуста. В соседних комнатах начинается шум. Через сцену, опираясь на палочку, торопливо проходит Фирс, ездивший встречать Любовь Андреевну. он в старинной ливрее и в высокой шляпе. что-то говорит сам с собой, но нельзя разобрать ни одного слова. Шум за сценой все усиливается. Голос: «Вот пройдемте здесь...» Любовь Андреевна, Аня и Шарлотта Ивановна с собачкой на цепочке, одетые по-дорожному. Варя в пальто и платке, Гаев, Симеонов-Пищик, Лопахин, Дуняша с узлом и зонтиком, прислуга с вещами – все идут через комнату.;;1;;1;;;;
(радостно, сквозь слезы).;;;;;1;;;
(Любови Андреевне.);;;;;1;;;
(Плачет.);;;;1;;;;
(Целует брата, Варю, потом опять брата.);;;;1;;;;
(Целует Дуняшу.);;;;1;;;;
(Пищику).;;;;;1;;;
(удивленно).;;;;;1;;;
Уходят все, кроме Ани и Дуняши.;;;1;;;;;
(Снимает с Ани пальто, шляпу.);;;;1;;;;
(Смеется, целует ее.);;;;1;;;;
(вяло).;;;;;1;;;
(Поправляет волосы.);;;;1;;;;
(Она очень утомлена, даже пошатывается.);;;;1;;;;
(глядит в свою дверь, нежно).;;;;1;1;;;
(радостно).;;;;;1;;;
(Взглянув на свои карманные часы.);;;;1;;;;
Входит Варя, на поясе у нее вязка ключей.;;1;;;;;;
(Уходит.);;;1;;;;;
(Ласкаясь.);;;;1;;;;
(сквозь слезы).;;;;;1;;;
(заглядывает в дверь и мычит).;;;;1;;;;
(Уходит.);;;1;;;;;
(сквозь слезы).;;;;;1;;;
(Грозит кулаком.);;;;1;;;;
(обнимает Варю, тихо).;;;;1;1;;;
(Варя отрицательно качает головой.);;;;1;;;;
(Другим тоном.);;;;;1;;;
(печально).;;;;;1;;;
(Идет в свою комнату, говорит весело, по-детски.);;;;1;1;;;
уже вернулась с кофейником и варит кофе.;;1;;1;;;;
(Стоит около двери.);;;;1;;;;
(Входя в комнату к Ане.);;1;;;;;;
Входит Яша с пледом, дорожной сумочкой.;;1;;;;;;
(идет через сцену, деликатно).;;;;1;;;;
(Показывает от пола.);;;;1;;;;
(Оглядывается и обнимает ее. она вскрикивает и роняет блюдечко. Яша быстро уходит.);;;1;1;;;;
(в дверях, недовольным голосом).;;;;;1;;1;
(сквозь слезы).;;;;;1;;;
(выйдя из своей комнаты).;;1;;;;;;
(задумчиво.);;;;;1;;;
(Вздрагивает.);;;;1;;;;
Пауза.;;;;1;;;;
Входит Фирс. он в пиджаке и белом жилете.;;1;;;;;;
(идет к кофейнику, озабоченно).;;;;1;1;;;
(Надевает белые перчатки.);;;;1;;;;
(Строго Дуняше.);;;;;1;;;
(Быстро уходит.);;;1;;;;;
(хлопочет около кофейника).;;;;1;;;;
(Бормочет про себя.);;;;1;;;;
(Смеется.);;;;1;;;;
(Радостно.);;;;1;;;;
(Плачет от радости.);;;;1;;;;
Входят Любовь Андреевна, Гаев, Лопахин и Симеонов-Пищик. Симеонов-Пищик в поддевке из тонкого сукна и шароварах. Гаев, входя, руками и туловищем делает движения, как будто играет на биллиарде.;;1;;1;;;;
(Целует мать.);;;;1;;;;
(Целует ей руки.);;;;1;;;;
(целует ей лицо, руки).;;;;1;;;;
(Сестре.);;;;;1;;;
Аня подает руку Лопахину и Пищику, уходит и затворяет за собой дверь.;;;1;1;;;;
(Лопахину и Пищику).;;;;;1;;;
(смеется).;;;;1;;;;
(Привлекает ее к себе и целует.);;;;1;;;;
Фирс кладет ей под ноги подушечку.;;;;1;;;;
(Целует Фирса.);;;;1;;;;
(Уходит.);;;1;;;;;
(Смеется.);;;;1;;;;
(Закрывает лицо руками.);;;;1;;;;
(Сквозь слезы.);;;;;1;;;
(тяжело дышит).;;;;1;;;;
(Вскакивает и ходит в сильном волнении.);;;;1;;;;
(Целует шкаф.);;;;1;;;;
(садится и пьет кофе).;;;;1;;;;
(Вынимает из кармана коробку с леденцами, сосет.);;;;1;;;;
(Взглянув на часы.);;;;1;;;;
(взглянув на часы).;;;;1;;;;
(Любови Андреевне).;;;;;1;;;
(возмущаясь).;;;;1;;;;
Входят Варя и Яша.;;1;;;;;;
(Выбирает ключ и со звоном отпирает старинный шкаф.);;;;1;;;;
(Рвет телеграммы, не прочитав.);;;;1;;;;
(удивленно).;;;;;1;;;
(Ощупав шкаф.);;;;1;;;;
(сквозь слезы);;;;;1;;;
Пауза.;;;;1;;;;
(немного сконфуженный).;;;;1;;;;
(поглядев на часы).;;;;1;;;;
(подает Любови Андреевне лекарства).;;;;1;;;;
(Берет пилюли, высыпает их себе на ладонь, дует на них, кладет в рот, и запивает квасом.);;;;1;;;;
(испуганно).;;;;;1;;;
Все смеются.;;;;1;;;;
(Бормочет.);;;;;1;;;
Шарлотта Ивановна в белом платье, очень худая, стянутая, с лорнеткой на поясе проходит через сцепу.;;1;;;;;;
(Хочет поцеловать у нее руку.);;;;1;;;;
(отнимая руку).;;;;1;;;;
Все смеются.;;;;1;;;;
(Уходит.);;;1;;;;;
(Целует Любови Андреевне руку.);;;;1;;;;
(Гаеву.);;;;;1;;;
(Целуется с Пищиком.);;;;1;;;;
(Подает руку Варе, потом Фирсу и Яше.);;;;1;;;;
(Любови Андреевне.);;;;;1;;;
(сердито).;;;;;1;;;
(Уходит.);;;1;;;;;
(Храпит, но тотчас же просыпается.);;;;1;;;;
(испуганно).;;;;;1;;;
(Смеется.);;;;1;;;;
