text;setting;entrance;exit;business;delivery;modifier;location;unknown
Г-жа Простакова, Митрофан, Еремеевна.;;1;;;;;;
(осматривая кафтан на Митрофане).;;;;1;;;;
(Еремеевна отходит.);;;1;;;;;
Митрофан отходит.;;;;1;;;;
Г-жа Простакова, Еремеевна, Тришка.;;1;;;;;;
(Тришке).;;;;;1;;;
(вбегает).;;;;1;;;;
Те же и Простаков.;;1;;;;;;
(от робости запинаясь).;;;;;1;;;
Те же и Скотинин.;;1;;;;;;
(Тришке).;;;;;1;;;
(Еремеевне.);;;;;1;;;
(в сторону).;;;;1;;;;
(разнежасъ).;;;;1;;;;
(с досадою).;;;;1;;;;
Митрофан с Еремеевною отходят.;;;1;;;;;
Г-жа Простакова, Простаков, Скотинин.;;1;;;;;;
(Скотинину).;;;;;1;;;
(показывая, будто крестит сердце).;;;;1;;;;
Те же и Софья.;;1;;;;;;
Софья вошла, держа письмо в руке и имея веселый вид.;;1;;1;;;;
(Софье).;;;;;1;;;
(испугавшись, с злобою).;;;;1;1;;;
(к мужу).;;;;;1;;;
(К Софье.);;;;;1;;;
(Почти вырывает.);;;;1;;;;
(К мужу.);;;;;1;;;
(долго смотря).;;;;1;;;;
Те же и Правдин.;;1;;;;;;
(К Правдину.);;;;;1;;;
(Читает.);;;;1;;;;
(читает).;;;;1;;;;
(Вместе.);;;;;1;;;
(бросаясь обнимать Софью).;;;;1;;;;
(протянув руку).;;;;1;;;;
(тихо Скотинину).;;;;;1;;;
(к Софье).;;;;;1;;;
(Увела Софью.);;;1;;;;;
Правдин, Простаков, Скотинин, слуга.;;1;;;;;;
(к Простакову, запыхавшись).;;;;1;1;;;
Правдин, Простаков и слуга отходят.;;;1;;;;;
Конец первого действия.;;;;;;;;1
Правдин, Милон.;;1;;;;;;
(в восторге).;;;;1;;;;
Те же и Софья.;;1;;;;;;
(в восхищении).;;;;1;;;;
(с нетерпением).;;;;1;;;;
(усмехаясь).;;;;;1;;;
(с негодованием).;;;;1;;;;
Здесь Скотинин идет по театру, задумавшись, и никто его не видит.;;;;1;;;;
(к Правдину);;;;;1;;;
Те же и Скотинин.;;1;;;;;;
(озлобясь).;;;;1;;;;
(Софье.);;;;;1;;;
(вскричал).;;;;1;;;;
(к Софье).;;;;;1;;;
(к Милону).;;;;;1;;;
(Скотинину).;;;;;1;;;
(Скотинину).;;;;;1;;;
Те же, Еремеевна и Митрофан.;;1;;;;;;
(Еремеевне).;;;;;1;;;
Скотинин и Митрофан, выпуча глаза, друг на друга смотрят.;;;;1;;;;
(задрожала).;;;;1;;;;
(разнежасъ).;;;;1;;;;
(бросаясь на Митрофана).;;;;1;;;;
(не допуская Скотинина).;;;;1;;;;
(заслоня Митрофана, остервенясь и подняв кулаки).;;;;1;;;;
(задрожав и грозя, отходит).;;;1;1;;;;
(задрожав, вслед).;;;;1;;;;
(вслед Скотинину).;;;;1;;;;
Те же и оба Простаковы.;;1;;;;;;
(мужу, идучи).;;;;1;1;;;
(к Милону).;;;;;1;;;
(в сторону).;;;;;1;;;
(к Софье).;;;;;1;;;
(К Софье.);;;;;1;;;
Софья отходит.;;;1;;;;;
(к Простакову).;;;;;1;;;
(отходя).;;;1;;;;;
(к гостям).;;;;;1;;;
Здесь появляются Кутейкин с часословом, а Цыфиркин с аспидной доскою и грифелем. Оба они знаками спрашивают Еремеевну: входить ли? Она их манит, а Митрофан отмахивает.;;1;;1;;;;
(не видя их, продолжает).;;;;1;;;;
(в сторону).;;;;;1;;;
(к Кутейкину).;;;;;1;;;
(в сторону).;;;;;1;;;
(к г-же Простаковой).;;;;;1;;;
Г-жа Простакова, Еремеевна, Митрофан, Кутейкин и Цыфиркин.;;1;;;;;;
(испугавшись).;;;;1;;;;
(вне себя).;;;;1;;;;
(в злобе).;;;;1;;;;
(дрожа).;;;;1;;;;
(указывая на ногти),;;;;1;;;;
(заплакав).;;;;1;;;;
(Вместе.);;;;;1;;;
(К Митрофану.);;;;;1;;;
(К Еремеевне.);;;;;1;;;
(Отходит с Митрофаном.);;;1;;;;;
(в слезах).;;;;;1;;;
Кутейкин и Цыфиркин отводят ее под руки.;;;1;;;;;
Конец второго действия.;;;;;;;;1
Стародум и Правдин.;;1;;;;;;
(С чувством.);;;;;1;;;
(Открывает свою табакерку.);;;;1;;;;
(берет у Правдина табак).;;;;1;;;;
Те же и Софья.;;1;;;;;;
(к Правдину).;;;;;1;;;
(в сторону).;;;;;1;;;
(смотря на Стародума).;;;;1;;;;
(обняв ее).;;;;1;;;;
(бросаясь в его объятия).;;;;1;;;;
(к Правдину).;;;;;1;;;
Те же, г-жа Простакова, Скотинин, Милон.;;1;;;;;;
Милон разнимает г-жу Простакову со Скотининым.;;;;1;;;;
(в запальчивости, оправляя парик).;;;;1;;;;
(г-же Простаковой).;;;;;1;;;
(Скотинину).;;;;;1;;;
(не могши удержаться от смеха, к Правдину).;;;;1;1;;;
(держась за шею).;;;;1;;;;
В следующую речь г-жи Простаковой Софья сказывает взорами Милону, что перед ним Стародум. Милон ее понимает.;;;;1;;;;
(Стародуму.);;;;;1;;;
(указывая на Софью).;;;;1;;;;
(обробев и иструсясь).;;;;1;;;;
(в сторону).;;;;;1;;;
Те же и Еремеевна.;;1;;;;;;
Те же, Простаков, Митрофан и Еремеевна.;;1;;;;;;
В следующую речь Стародума Простаков с сыном, вышедшие из средней двери, стали позади Стародума. Отец готов его обнять, как скоро дойдет очередь, а сын подойти к руке. Еремеевна взяла место к стороне и, сложа руки, стала как вкопанная, выпяля глаза на Стародума, с рабским подобострастием.;;1;;1;;;;
(обнимая неохотно г-жу Простакову).;;;;1;;;;
(Вырвавшись из рук ее, обертывается на другую сторону, где Скотинин, стоящий уже с распростертыми руками, тотчас его схватывает.);;;;1;;;;
(увидя еще двух, с нетерпением).;;;;1;1;;;
(обнимая).;;;;1;;;;
(ловя руку).;;;;1;;;;
(Вместе.);;;;;1;;;
(Правдину).;;;;;1;;;
(Милону).;;;;;1;;;
(не давая руки Митрофану).;;;;1;;;;
(К матери.);;;;;1;;;
(К Стародуму.);;;;;1;;;
Софья кажется пораженною.;;;;1;;;;
Простаков всплеснул руками.;;;;1;;;;
Еремеевна печально кивнула головою. Правдин показывает вид огорченного удивления.;;;;1;;;;
(приметя всех смятение).;;;;1;;;;
(К Софье.);;;;;1;;;
Все принимают веселый вид.;;;;1;;;;
(в сторону).;;;;;1;;;
(с веселым видом).;;;;1;;;;
(Отходит.);;;;1;;;;
(к Правдину).;;;;;1;;;
(К Стародуму.);;;;;1;;;
(Мигнула Еремеевне, чтоб их позвать.);;;;1;;;;
(увидя Кутейкина и Цыфиркина).;;;;1;;;;
(к Правдину).;;;;;1;;;
(Увидя Милона, который ему с почтением поклонился, откланивается и ему учтиво.);;;;1;;;;
Кроме учителей, все отходят. Правдин с Милоном в сторону, а прочие в другую.;;;1;;;;1;
Кутейкин и Цыфиркин.;;1;;;;;;
(Вздохнув.);;;;1;;;;
(вздохнув).;;;;1;;;;
(с жаром).;;;;;1;;;
Те же, г-жа Простакова и Митрофан.;;1;;;;;;
Цыфиркин очинивает грифель.;;;;1;;;;
(работая).;;;;1;;;;
(пишет).;;;;1;;;;
(пишет).;;;;1;;;;
(вычисляя, шепчет).;;;;1;1;;;
(пишет).;;;;1;;;;
(вычисляя, шепчет).;;;;1;1;;;
(Задумался.);;;;1;;;;
(открывает часослов, Митрофан берет указку).;;;;1;;;;
(учебным голосом).;;;;;1;;;
(так же).;;;;1;;;;
Те же и Вральман.;;1;;;;;;
(затворяя часослов).;;;;1;;;;
(в сторону).;;;;;1;;;
(в сторону).;;;;;1;;;
(в сторону).;;;;;1;;;
(Вслух.);;;;;1;;;
Митрофан, стоя на месте, перевертывается.;;;;1;;;;
Митрофан убегает.;;;1;;;;;
(усмехаясь радостно).;;;;1;;;;
(Отходит.);;;1;;;;;
Вральман, Кутейкин и Цыфиркин.;;1;;;;;;
(насмехаясь).;;;;1;;;;
(насмехаясь).;;;;1;;;;
(ударив по плечу).;;;;1;;;;
(ударив по плечу).;;;;1;;;;
(тихо).;;;;;1;;;
(Вслух.);;;;;1;;;
(оправляясь от робости).;;;;1;;;;
Цыфиркин, замахиваясь доскою, а Кутейкин часословом.;;;;1;;;;
Вральман бежит.;;;1;;;;;
(в дверях).;;;;;;;1;
Конец третьего действия.;;;;;;;;1
Софья.;;1;;;;;;
(одна, глядя на часы).;;1;;1;;;;
(Садясь.);;;;1;;;;
(Вынимает книжку и прочитав несколько.);;;;1;;;;
(Прочитав опять несколько.);;;;1;;;;
(Прочитав еще несколько, взглянула и, увидев Стародума, к нему подбегает.);;;;1;;;;
Софья и Стародум.;;1;;;;;;
(Оба сели.);;;;1;;;;
Софья подвигает стул свой.;;;;1;;;;
(с важным чистосердечием).;;;;1;;;;
(с нежнейшею горячностию).;;;;1;;;;
(Бросаясь целовать его руки.);;;;1;;;;
(целуя сам ее руки).;;;;1;;;;
Те же и камердинер.;;1;;;;;;
Камердинер подает письмо Стародуму.;;;;1;;;;
(Отходит.);;;1;;;;;
(распечатав и смотря на подпись).;;;;1;;;;
(Начиная читать, показывает вид, что глаза разобрать не могут.);;;;1;;;;
(отходя).;;;;1;;;;
Стародум.;;1;;;;;;
(один).;;1;;;;;;
Стародум и Софья.;;1;;;;;;
(подавая очки).;;;;1;;;;
(читает).;;;;1;;;;
(В сторону.);;;;;1;;;
Те же, Правдин и Милон.;;1;;;;;;
(в сторону).;;;;;1;;;
Стародум оглядывается на Софью.;;;;1;;;;
(тихо Стародуму и в большой робости).;;;;;1;;;
(Софье).;;;;;1;;;
(Милону.);;;;;1;;;
(к Софье, с радостью).;;;;;1;;;
(В восхищении, соединяя их руки.);;;;1;;;;
(обнимая Стародума).;;;;1;;;;
(целуя руки Стародумовы).;;;;1;;;;
(целуя руку Софьи).;;;;1;;;;
Те же и Скотинин.;;1;;;;;;
(смеючись).;;;;1;;;;
(смеючись.);;;;1;;;;
(Тихо Стародуму.);;;;;1;;;
(тихо Скотинину).;;;;;1;;;
(тем же тоном).;;;;;1;;;
(тем же тоном).;;;;;1;;;
(громко, указывая на Милона).;;;;1;1;;;
(смеется).;;;;1;;;;
(Стародуму).;;;;;1;;;
Те же, г-жа Простакова, Простаков, Митрофан и Еремеевна.;;1;;;;;;
(входя).;;1;;;;;;
(Стародуму).;;;;;1;;;
(Стародуму.);;;;;1;;;
(Мужу и сыну.);;;;;1;;;
Все садятся, кроме Митрофана и Еремеевны.;;;;1;;;;
(К Правдину.);;;;;1;;;
(Вместе.);;;;;1;;;
(Митрофану).;;;;;1;;;
(подает ему книгу).;;;;1;;;;
(взяв книгу).;;;;1;;;;
(Митрофану).;;;;;1;;;
(сыну).;;;;;1;;;
(тихо матери).;;;;;1;;;
(тихо Митрофану).;;;;;1;;;
(тихо матери).;;;;;1;;;
