text;setting;entrance;exit;business;delivery;modifier;location;unknown
Комната холостяка.;1;;;;;;;
Подколесин один, лежит на диване с трубкой.;;1;;1;;;;
Подколесин, Степан.;;1;;;;;;
Степан уходит.;;;1;;;;;
Подколесин один.;;1;;;;;;
Подколесин, Степан.;;1;;;;;;
Подколесин один.;;1;;;;;;
Подколесин, Степан.;;1;;;;;;
Степан уходит.;;;1;;;;;
Подколесин, потом Степан.;;1;;;;;;
Подколесин и Фекла.;;1;;;;;;
(показывает на горло);;;;1;;;;
(Щупает свои волосы.);;;;1;;;;
(Уходит в другую комнату.);;;1;;;;;
Фекла и Кочкарев, вбегая.;;1;;;;;;
(Увидев Феклу.);;;;1;;;;
Те же и Подколесин с зеркалом в руках, в которое вглядывается очень внимательно.;;1;;1;;;;
(подкрадываясь сзади, пугает его).;;;;1;;;;
(вскрикнув и роняя зеркало).;;;;1;;;;
(Указывает на Феклу.);;;;1;;;;
(К Фекле.);;;;;1;;;
(Уходит с досадой.);;;1;;;;;
Подколесин и Кочкарев.;;1;;;;;;
(одеваясь перед зеркалом).;;;;1;;;;
(надевая воротнички).;;;;1;;;;
(Надевает фрак и садится.);;;;1;;;;
(Вполголоса.);;;;;1;;;
(Степану.);;;;;1;;;
(в дверях).;;;;;;;1;
Оба уходят.;;;1;;;;;
Комната в доме Агафьи Тихоновны.;1;;;;;;;
Агафья Тихоновна раскладывает на картах, из-за руки глядит тетка Арина Пантелеймоновна.;;1;;1;;;;
Те же и Фекла.;;1;;;;;;
(вскрикивает).;;;;;1;;;
(вскрикивает).;;;;;1;;;
(Схватывает все, что ни есть на столе, и бегает по комнате.);;;;1;;;;
(Стаскивает салфетку и мечется по комнате.);;;;1;;;;
(Мечется по комнате.);;;;1;;;;
Дуняшка кричит издалека: «Сейчас!»;;;;;1;;;
(вбегая).;;;;1;;;;
Дуняшка бежит в сени и отворяет дверь. Слышны голоса: «Дома?» — «Дома, пожалуйте в комнату». Все с любопытством стараются рассмотреть в замочную скважину.;;;;1;;;;
(вскрикивает).;;;;;1;;;
Все бегут опрометью.;;;;1;;;;
Иван Павлович Яичница и девчонка.;;1;;;;;;
(Уходит.);;;1;;;;;
(Читает.);;;;1;;;;
(Подымает глаза вверх и обсматривает комнату.);;;;1;;;;
(Продолжает читать.);;;;1;;;;
(Значительно сжимает губы.);;;;1;;;;
Слышен звонок. Дуняшка бежит впопыхах через комнату отворять дверь. Слышны голоса: «Дома?» — «Дома».;;;;1;;;;
Иван Павлович и Анучкин.;;1;;;;;;
(Уходит.);;;1;;;;;
Анучкин раскланивается с Яичницей.;;;;1;;;;
(в сторону).;;;;;1;;;
(Вслух.);;;;;1;;;
(в сторону).;;;;;1;;;
Слышен звонок. Дуняшка бежит через комнату отворять дверь. В сенях голоса: «Дома?» — «Дома».;;;;1;;;;
Те же и Жевакин, в сопровождении девчонки.;;1;;;;;;
(девчонке).;;;;;1;;;
(Поворачивается.);;;;1;;;;
(Гладит рукою рукав фрака и поглядывает на Анучкина и Ивана Павловича.);;;;;;;;
(Делает ей ручку и, подходя к зеркалу, слегка взъерошивает волосы.);;;;1;;;;
(показывает на плеча);;;;1;;;;
(Кланяется и размахивает рукою.);;;;1;;;;
(Делает рукою движение.);;;;1;;;;
(не дослышав).;;;;1;;;;
(кланяясь).;;;;1;;;;
Слышен в сенях звонок, Фекла бежит через комнату отворять.;;;;1;;;;
(бежит впопыхах).;;;;1;;;;
(Отворяет дверь.);;;;1;;;;
В сенях раздаются голоса: «Дома?» — «Дома». Потом несколько почти неслышных слов, на которые Фекла отвечает с досадою: «Смотри ты какой!»;;;;1;;;;
Те же, Кочкарев, Подколесин и Фекла.;;1;;;;;;
(Подколесину).;;;;;1;;;
(Оглядывается и раскланивается с некоторым изумлением. про себя.);;;;1;1;;;
(Толкает Феклу и говорит ей тихо.);;;;1;1;;;
(вполголоса).;;;;;1;;;
(ей).;;;;;1;;;
(Вслух.);;;;;1;;;
(Подходит к двери.);;;;1;;;;
(Смотрит в замочную скважину.);;;;1;;;;
(продолжая смотреть).;;;;1;;;;
Все отскакивают прочь.;;;;1;;;;
