text;setting;entrance;exit;business;delivery;modifier;location;unknown
Гостиная, в ней большие часы, справа дверь в спальню Софии, откудова слышно фортопияно с флейтою, которые потом умолкают. Лизанька среди комнаты спит, свесившись с кресел. Утро, чуть день брезжится.;1;1;;1;;;;
(вдруг просыпается, встает с кресел, оглядывается);;;;1;;;;
(Стучится к Софии.);;;;1;;;;
(Отходит от дверей.);;;;1;;;;
(Опять к дверям.);;;;1;;;;
(из своей комнаты);;;;;;;1;
(оттуда же);;;;;;;1;
(прочь от дверей);;;;1;;;;
Лиза и Фамусов;;1;;;;;;
(Останавливает часовую музыку.);;;;1;;;;
(Жмется к ней и заигрывает);;;;1;;;;
(как можно громче);;;;;1;;;
(зажимает ей рот);;;;1;;;;
(торопливо);;;;;1;;;
(Крадется вон из комнаты на цыпочках.);;;1;;;;;
(одна);;1;;;;;;
Лиза, София со свечкою, за ней Молчалин.;;1;;;;;;
(Тушит свечу.);;;;1;;;;
(Молчалину);;;;;1;;;
(Разводит их, Молчалин в дверях сталкивается с Фамусовым.);;;;1;;;;
София, Лиза, Молчалин, Фамусов.;;1;;;;;;
(сквозь слезы);;;;;1;;;
(Садится.);;;;1;;;;
(Встает.);;;;1;;;;
(Молчалину);;;;;1;;;
(Уходит с Молчалиным, в дверях пропускает его вперед.);;;1;1;;;;
София, Лиза.;;1;;;;;;
(Продолжает хохотать.);;;;1;;;;
(с огорчением);;;;;1;;;
София, Лиза, слуга, за ним Чацкий.;;1;;;;;;
(Уходит.);;;1;;;;;
София, Лиза, Чацкий.;;1;;;;;;
(С жаром целует руку.);;;;1;;;;
(в сторону);;;;;1;;;
(Громко и принужденно);;;;;1;;;
София, Лиза, Чацкий, Фамусов.;;1;;;;;;
(Уходит.);;;1;;;;;
(ей вслед вполголоса);;;;;1;;;
Фамусов, Чацкий (смотрит на дверь, в которую София вышла).;;1;;1;;;;
Обнимаются.;;;;1;;;;
Садятся.;;;;1;;;;
(рассеянно);;;;;1;;;
(Встает поспешно.);;;;1;;;;
(В дверях);;;;;;;1;
(Уходит.);;;1;;;;;
(один);;1;;;;;;
(Уходит.);;;1;;;;;
(Слуге);;;;;1;;;
(скороговоркой);;;;;1;;;
(входит);;1;;;;;;
(ничего не видит и не слышит.);;;;1;;;;
(оборачивается);;;;1;;;;
(встает);;;;1;;;;
(Поспешно уходит.);;;1;;;;;
Чацкий, Фамусов, Скалозуб.;;1;;;;;;
