text;setting;entrance;exit;business;delivery;modifier;location;unknown
Даша, Семен и потом Лиза.;;1;;;;;;
(выглядывая из другой комнаты.);;;;1;;;;
(показываясь.);;;;1;;;;
(Уходит.);;;1;;;;;
(почесывая лоб.);;;;1;;;;
(Делает знак, будто хочет дать пощечину.);;;;1;;;;
(Семен хохочет.);;;;1;;;;
(в задумчивости.);;;;1;;;;
(показываясь.);;;;1;;;;
(Уходит.);;;1;;;;;
(Убегает.);;;1;;;;;
(Садится за шитье.);;;;1;;;;
Фекла, Лукерья, Даша и няня Василиса, которая становит стул и, на нем сидя, вяжет чулок, вслушиваясь в разговоры барышень.;;1;;1;;;;
(особо.);;;;;1;;;
(подходя.);;;;1;;;;
(уходя, особо.);;;1;;1;;;
Фекла, Лукерья и няня Василиса.;;1;;;;;;
(Хохочет.);;;;1;;;;
Велькаров, Фекла, Лукерья и няня Василиса, которая вскоре уходит.;;1;1;;;;;
(за театр.);;;;;;;1;
(Отводя его.);;;;1;;;;
(Видя, что дочери хотят уйти.);;;;1;;;;
(тихо.);;;;;1;;;
(няне.);;;;;1;;;
(Уходит.);;;1;;;;;
Велькаров, Лукерья и Фекла.;;1;;;;;;
(Лукерье.);;;;;1;;;
(Фекле.);;;;;1;;;
(Лукерье.);;;;;1;;;
(Фекле.);;;;;1;;;
(Лукерье.);;;;;1;;;
(схватя их обеих за руки.);;;;1;;;;
Велькаров, Фекла, Лукерья и слуга.;;1;;;;;;
Слуга уходит.;;;1;;;;;
(тихо.);;;;;1;;;
(так же.);;;;;1;;;
(Увидя, что дочери хотят уйти.);;;;1;;;;
(Слуге, который входит.);;1;;;1;;;
(возвращаясь.);;;;1;;;;
(тихо сестре.);;;;;1;;;
(так же.);;;;;1;;;
Слуга уходит.;;;1;;;;;
(входя.);;1;;;;;;
Слуга уходит.;;;1;;;;;
(Василиса входит.);;1;;;;;;
Фекла, Лукерья, Даша и няня Василиса.;;1;;;;;;
(Хочет уйти.);;;;1;;;;
(Даша исполняет приказание.);;;;1;;;;
Они услуживают друг другу.;;;;1;;;;
(Бросаются в кресла.);;;;1;;;;
(Приседает низко и степенно.);;;;1;;;;
(Приседает скоро и кивает головою.);;;;1;;;;
(особо.);;;;;1;;;
(Увидя Семена.);;;;1;;;;
Фекла, Лукерья, Даша, няня Василиса, Велькаров и Семен во фрачке.;;1;;;;;;
(особо.);;;;;1;;;
(Особо.);;;;;1;;;
(Откланивается очень учтиво Велькарову.);;;;1;;;;
(тихо сестре.);;;;;1;;;
Приседают очень низко и перекланиваются с Семеном.;;;;1;;;;
Фекла, Лукерья, Даша, няня Василиса и Семен.;;1;;;;;;
(приседая.);;;;1;;;;
Даша исполняет приказание.;;;;1;;;;
(садясь.);;;;1;;;;
Даша исполняет приказание.;;;;1;;;;
(пересаживаясь с поклонами.);;;;1;;;;
(исполнял приказание.);;;;1;;;;
(пересаживаясь.);;;;1;;;;
(Все плачут около маркиза.);;;;1;;;;
(которая все глядела на них, вдруг плачет навзрыд.);;;;1;;;;
(со слезами.);;;;;1;;;
Фекла, Лукерья, Даша, няня Василиса и Сидорка (несет платье).;;1;;1;;;;
(указывая на Семена.);;;;1;;;;
(особо.);;;;;1;;;
(особо.);;;;;1;;;
(Сидорке.);;;;;1;;;
(схватя за платье.);;;;1;;;;
(Берет платье.);;;;1;;;;
(Сидорке.);;;;;1;;;
Фекла, Лукерья, Даша и няня Василиса.;;1;;;;;;
(вслед Семену.);;;;1;;;;
(особо.);;;;;1;;;
(особо.);;;;;1;;;
(робко.);;;;;1;;;
(особо.);;;;;1;;;
(Отходя.);;;;1;;;;
(отходя.);;;;;1;;;
Даша, потом Семен, разряженный в Велькарова кафтан и распудренный, и Сидорка.;;1;;1;;;;
(Тихо.);;;;;1;;;
(Тихо.);;;;;1;;;
(Громко.);;;;;1;;;
(особо.);;;;;1;;;
(гордо.);;;;;1;;;
(Даше.);;;;;1;;;
Даша и Семен, хохочут.;;;;1;;;;
(Расхаживает.);;;;1;;;;
(приседая важно.);;;;1;;;;
(с комическою важностью.);;;;;1;;;
(приседая важно.);;;;1;;;;
(с комическою важностью.);;;;;1;;;
(приседая.);;;;1;;;;
Фекла, Лукерья, Даша и Семен.;;1;;;;;;
(хохочет.);;;;1;;;;
Фекла, Лукерья и Семен.;;1;;;;;;
(особо.);;;;;1;;;
(Им.);;;;;1;;;
(убегая от них на другую сторону театра.);;;;1;;;1;
(гоняясь за ним.);;;;1;;;;
(убегая.);;;;1;;;;
(Особо.);;;;;1;;;
(гоняясь.);;;;1;;;;
(убегая.);;;;1;;;;
(гоняясь.);;;;1;;;;
(гоняясь.);;;;1;;;;
(убегая.);;;;1;;;;
(убегая.);;;;1;;;;
(гоняясь.);;;;1;;;;
(убегая, и, выбившись из сил, падает в кресла.);;;;1;;;;
(придерживая его.);;;;1;;;;
(так же.);;;;1;;;;
(барахтаясь.);;;;1;;;;
(Особо.);;;;;1;;;
Лукерья, Фекла, Семен и няня Василиса.;;1;;;;;;
(входя.);;1;;;;;;
Они бросаются от Семена.;;;;1;;;;
Прежние, Велькаров и Даша.;;1;;;;;;
(указывая на Дашу);;;;1;;;;
(на коленях.);;;;1;;;;
(на коленях.);;;;1;;;;
(Особо.);;;;;1;;;
Фекла, Лукерья, Велькаров, Даша, Семен, няня Василиса и Сидорка.;;1;;;;;;
(Семену.);;;;;1;;;
(в смущении.);;;;1;;;;
(особо.);;;;;1;;;
(особо.);;;;;1;;;
(на коленях.);;;;1;;;;
(подходя к Семену.);;;;1;;;;
(на коленях.);;;;1;;;;
(особо.);;;;;1;;;
(Уходит с Дашей. за ними Сидорка.);;;1;;;;;
(Уходит.);;;1;;;;;
(вслед.);;;;1;;;;
(отходя.);;;;1;;;;
(отходя.);;;;1;;;;
(отходя за ними.);;;;1;;;;
Конец;;;;;;;;1
