text;setting;entrance;exit;business;delivery;modifier;location;unknown
Игроки, князь Звездич, Казарин и Шприх. За столом мечут банк и понтируют... Кругом стоят.;1;;;1;;;;
(тихо первому);;;;;1;;;
(насмешливо);;;;;1;;;
(сквозь зубы, уходя);;;1;;1;;;
Князь, выпив стакан лимонаду, садится к стороне и задумывается.;;;;1;;;;
(подходит с участием);;;;1;;;;
Князь холодно кланяется и отворачивается. Шприх с неудовольствием уходит.;;;1;1;;;;
Арбенин и прочие.;;1;;;;;;
Арбенин входит, кланяется, подходя к столу, потом делает некоторые знаки и отходит с Казариным.;;1;;1;;;;
Шприх подходит и кланяется;;;;1;;;;
Раскланиваются опять. Шприх, скорчив кислую мину, уходит.;;;1;1;;;;
(кричат);;;;;1;;;
(С притворным участием.);;;;;1;;;
Живой разговор между игроками, потом успокаиваются. Арбенин замечает князя Звездича и подходит.;;;;1;;;;
(недовольно);;;;;1;;;
(с чувством берет его за руку);;;;1;;;;
Молчание. Князь едва его слушал и был в волнении.;;;;1;;;;
(вдруг берет его за руку);;;;1;;;;
(Смотрит на него пристально.);;;;1;;;;
(Переменив тон.);;;;;1;;;
(Подходит к столу. ему дают место.);;;;1;;;;
(Тихо.);;;;;1;;;
(на ухо второму);;;;;1;;;
Игра начинается. все толпятся вокруг стола, иногда разные возгласы, в продолжение следующего разговора многие мрачно отходят от стола. Шприх отводит на авансцену Казарина.;;;;1;;;;
(лукаво);;;;;1;;;
(ударив по плечу);;;;1;;;;
Два игрока в живом разговоре подходят.;;;;1;;;;
(подходит);;;;1;;;;
Волнение у стола между игроками.;;;;1;;;;
(в сторону);;;;;1;;;
(встает);;;;1;;;;
Берет золото и отходит, другие остаются у стола. Казарин и Шприх также у стола. Арбенин молча берет за руку князя и отдает ему деньги. Арбенин бледен.;;;;1;;;;
(Горько.);;;;;1;;;
(Помолчав.);;;;1;;;;
(в сторону);;;;;1;;;
Уходят.;;;1;;;;;
Те же, кроме Арбенина и князя Звездича.;;1;;;;;;
(входит);;;1;;;;;
Уходят.;;;;1;;;;
(один);;1;;;;;;
(Приставив палец ко лбу.);;;;1;;;;
(Уходит и рассуждает сам с собою.);;;1;;1;;;
Маскерад.;1;;;;;;;
Маски, Арбенин, потом князь Звездич. Толпа проходит взад и вперед по сцене. налево канапе.;;1;1;;;;;
(входит);;1;;;;;;
Князь подходит. Зевая.;;;;1;;;;
(Уходит.);;;1;;;;;
Князь и женская маска.;;1;;;;;;
Одно домино подходит и останавливается. Князь стоит в задумчивости.;;;;1;;;;
Одна маска отделяется и, ударив его по плечу:;;;;1;;;;
(Заглядывает под маску.);;;;1;;;;
Некоторое молчание.;;;;1;;;;
(Уходят под руки.);;;1;;;;;
Арбенин и две маски.;;1;;;;;;
Арбенин тащит за руку мужскую маску.;;;;1;;;;
(Исчезает в толпе.);;;1;;;;;
Шприх и Арбенин.;;1;;;;;;
Шприх является.;;1;;;;;;
На канапе сидят две женские маски, кто-то подходит в интригует, берет за руку... одна вырывается и уходит, браслет спадает с руки.;;;1;1;;;;
(переменив тон);;;;1;;;;
(Насвистывает песню и уходит.);;;1;1;;;;
(один);;1;;;;;;
(Теряется в толпе.);;;1;;;;;
1-я маска, одна.;;1;;;;;;
1-я маска входит быстро в волнении и падает на канапе.;;1;;1;;;;
(Видит на земле браслет и поднимает.);;;;1;;;;
1-я маска и князь Звездич.;;1;;;;;;
Князь с лорнетом торопливо продирается.;;1;;;;;;
(Садится на канапе и берет ее за руку.);;;;1;;;;
(хочет идти);;;;1;;;;
(отойдя два шага);;;;1;;;;
(Бросает браслет на пол, пока он его поднимает, она скрывается в толпе.);;;1;1;;;;
Князь, потом Арбенин.;;1;;;;;;
(Он ищет ее глазами напрасно.);;;;1;;;;
(Увидев Арбенина.);;;;1;;;;
(идет задумчив);;;;1;;;;
(подходя);;;;1;;;;
(дует на ладонь);;;;1;;;;
(Несколько слов на ухо.);;;;;1;;;
(показывает браслет);;;;1;;;;
(улыбаясь);;;;1;;;;
Евгений Арбенин входит. слуга.;;1;;;;;;
(Слуге:);;;;;1;;;
Слуга уходит. он садится в кресла.;;;1;1;;;;
(один);;1;;;;;;
(Задумывается.);;;;1;;;;
Арбенин и Нина.;;1;;;;;;
Нина входит на цыпочках и целует его в лоб сзади.;;1;;1;;;;
(улыбаясь);;;;1;;;;
(Привлекает к себе на колени и целует.);;;;1;;;;
Она ласково смотрит на него и проводит рукой по волосам.;;;;1;;;;
(Целует ее руки и вдруг на одной не видит браслета, останавливается и бледнеет.);;;;1;;;;
(вскакивает);;;;1;;;;
(про себя);;;;;1;;;
(пронзительно на нее смотрит, сложив руки).;;;;1;1;;;
(обидясь);;;;1;;;;
(про себя);;;;;1;;;
Прежние и слуга.;;1;;;;;;
(звонит, слуга входит);;1;;;;;;
(Слуге.);;;;;1;;;
(Ей.);;;;;1;;;
Слуга уходит.;;;1;;;;;
(После паузы, ей.);;;;1;1;;;
Слуга входит.;;1;;;;;;
(Значительный взгляд на нее.);;;;1;;;;
Прежние, кроме слуги.;;1;;;;;;
(слуге);;;;;1;;;
