text;setting;entrance;exit;business;delivery;modifier;location;unknown
Действие происходит в настоящее время, в большом городе Бряхимове на Волге.;1;;;;;;;
Городской бульвар на высоком берегу Волги, с площадкой перед кофейной. направо от актеров вход в кофейную, налево — деревья. в глубине низкая чугунная решетка, за ней вид на Волгу, на большое пространство: леса, села и проч.. на площадке столы и стулья: один стол на правой стороне, подле кофейной, другой — на левой.;1;;;;;;1;
Гаврило стоит в дверях кофейной, Иван приводит в порядок мебель на площадке.;;;;1;;;;
Слева выходит Кнуров и, не обращая внимания на поклоны Гаврилы и Ивана, садится к столу, вынимает из кармана французскую газету и читает. Справа входит Вожеватов.;;1;;1;;;;
Кнуров, Вожеватов, Гаврило, Иван.;;1;;;;;;
(почтительно кланяясь).;;;;1;;;;
(Подает руку.);;;;1;;;;
Гаврило подходит ближе.;;;;1;;;;
(Ивану).;;;;;1;;;
(Взглянув в сторону за кофейную.);;;;1;;;;
(С улыбкой.);;;;;1;;;
(Гавриле).;;;;;1;;;
(Уходит.);;;1;;;;;
Гаврило приносит на подносе два чайника с шампанским и два стакана.;;;;1;;;;
(наливая).;;;;1;;;;
(Смеется.);;;;1;;;;
(Смеется.);;;;1;;;;
(Тихо.);;;;;1;;;
Входят Карандышев, Огудалова, Лариса. Вожеватов встает и кланяется. Кнуров вынимает газету.;;1;;1;;;;
Кнуров, Вожеватов, Карандышев, Огудалова. Лариса в глубине садится на скамейку у решетки и смотрит в бинокль за Волгу. Гаврило, Иван.;;1;;1;;;;
(подходя к столу).;;;;1;;;;
Карандышев подходит за ней. Вожеватов подает руку Огудаловой и Карандышеву. Кнуров, молча и не вставая с места, подает руку Огудаловой, слегка кивает Карандышеву и погружается в чтение газеты.;;;;1;;;;
(Подвигает стул.);;;;1;;;;
Карандышев садится поодаль.;;;;1;;;;
Иван берет чайник и уходит.;;;1;1;;;;
(смотрит на часы).;;;;1;;;;
(Огудаловой).;;;;;1;;;
(Карандышеву.);;;;;1;;;
Иван подает чайник и чашку.;;;;1;;;;
(Наливает и подает чашку.);;;;1;;;;
(Ивану).;;;;;1;;;
(кланяясь).;;;;1;;;;
(переходит к Кнурову.);;;;1;;;;
(с удивлением оглядывает его).;;;;1;;;;
(Читает газету.);;;;1;;;;
(продолжая читать).;;;;1;;;;
Кнуров закрывается газетой.;;;;1;;;;
(Огудаловой).;;;;;1;;;
(отходя от Кнурова к Вожеватову).;;;;1;;;;
(Гавриле.);;;;;1;;;
(Отдает деньги.);;;;1;;;;
(Карандышеву).;;;;;1;;;
(Встает.);;;;1;;;;
(Подходит к Ларисе и говорит с ней тихо.);;;;1;1;;;
(подходит к Кнурову).;;;;1;;;;
Огудалова уходит.;;;1;;;;;
(Вожеватову).;;;;;1;;;
Вожеватов и Кнуров уходят. Лариса подходит к Карандышеву.;;;1;1;;;;
Карандышев и Лариса.;;1;;;;;;
(Задумчиво.);;;;;1;;;
(обидясь).;;;;1;;;;
Лариса утирает слезы.;;;;1;;;;
(Задумчиво.);;;;;1;;;
На Волге пушечный выстрел.;;;;1;;;;
(подойдя к решетке).;;;;1;;;;
(Смотрит вниз.);;;;1;;;;
(берет Ларису за руку).;;;;1;;;;
(Уходят.);;;1;;;;;
Гаврило и Иван выходят из кофейной.;;1;;;;;;
Гаврило и Иван.;;1;;;;;;
(Убегает в кофейную.);;;1;;;;;
Входят Паратов (черный однобортный сюртук в обтяжку, высокие лаковые сапоги, белая фуражка, через плечо дорожная сумка), Робинзон (в плаще, правая пола закинута на левое плечо, мягкая высокая шляпа надета набок), Кнуров, Вожеватов. Иван выбегает из кофейной с веничком и бросается обметать Паратова.;;1;;1;;;;
Паратов, Робинзон, Кнуров, Вожеватов, Гаврило и Иван.;;1;;;;;;
(Ивану).;;;;;1;;;
(Дает ему рублевую бумажку.);;;;1;;;;
(Отходит.);;;;1;;;;
Робинзон важно раскланивается и подает руку Кнурову и Вожеватову.;;;;1;;;;
(Паратову).;;;;;1;;;
(показывая на кофейную).;;;;1;;;;
Робинзон идет в кофейную.;;;1;;;;;
(пожимая плечами).;;;;1;;;;
(Уходит в кофейную. Гаврило за ним.);;;1;;;;;
На крыльце кофейной показывается Робинзон, что-то жует, за ним Гаврило.;;1;;1;;;;
Паратов, Кнуров, Вожеватов, Робинзон, Гаврило и Иван.;;1;;;;;;
(Робинзону).;;;;;1;;;
(с важностью).;;;;;1;;;
(Робинзону.);;;;;1;;;
(Подает руку Вожеватову.);;;;1;;;;
(Гавриле).;;;;;1;;;
(Вожеватову.);;;;;1;;;
(Задумывается.);;;;1;;;;
(поднимая шляпу).;;;;1;;;;
