text;setting;entrance;exit;business;delivery;modifier;location;unknown
Усадьба Гурмыжской, верстах в пяти от уездного города. Большая зала. Прямо две двери: одна выходная, другая в столовую. направо от зрителей окно и дверь в сад. налево две двери: одна во внутренние комнаты, другая в коридор. Богатая старинная мебель, трельяжи, цветы, у окна рабочий столик, налево круглый стол и несколько кресел.;1;;;;;;;
Карп стоит у двери в сад, входит Аксюша.;;1;;1;;;;
(вынув из кармана письмо).;;;;1;;;;
(Отворачивается к окну.);;;;1;;;;
(Берет письмо.);;;;1;;;;
(глядя в окно).;;;;1;;;;
(очень серьезно).;;;;;1;;;
(Отходит от двери.);;;;1;;;;
Аксюша смотрит в окно, Буланов входит.;;1;;1;;;;
Аксюша, Буланов, Карп, потом Улита.;;1;;;;;;
(Карпу).;;;;;1;;;
(Увидав Аксюшу, подходит к ней и очень развязно кладет ей на плечо руку.);;;;1;;;;
(быстро обернувшись).;;;;1;;;;
(обидясь).;;;;1;;;;
(почти сквозь слезы).;;;;;1;;;
(равнодушно).;;;;;1;;;
(строго).;;;;;1;;;
Входит Улита и чего-то ищет.;;1;;;;;;
Улита уходит.;;;1;;;;;
(презрительно улыбаясь).;;;;1;;;;
(Серьезно.);;;;;1;;;
Показывается Улита.;;1;;;;;;
Улита уходит.;;;1;;;;;
(тихо).;;;;;1;;;
(Карпу.);;;;;1;;;
(Уходит.);;;1;;;;;
Буланов, Карп.;;1;;;;;;
(подходя).;;;;1;;;;
Улита показывается из коридора.;;;;1;;;;
(скрываясь).;;;;1;;;;
(задумчиво).;;;;;1;;;
(Уходит.);;;1;;;;;
Буланов поправляет волосы и покручивает усики. Входят Гурмыжская, Милонов и Бодаев.;;1;;1;;;;
Гурмыжская, Милонов, Бодаев, Буланов.;;1;;;;;;
(откашливаясь).;;;;1;;;;
(грубо).;;;;;1;;;
(Садится поодаль.);;;;1;;;;
(заметив Буланова).;;;;1;;;;
Буланов раскланивается.;;;;1;;;;
Буланов уходит, Гурмыжская и Милонов садятся у стола.;;;;1;;;;
Бодаев прислушивается.;;;;1;;;;
(громко).;;;;;1;;;
(Садится к столу.);;;;1;;;;
(шутя).;;;;1;;;;
(привстает, опираясь на костыль, и кланяется).;;;;1;;;;
(Вынимает письмо из коробки и подает Милонову.);;;;1;;;;
(читает).;;;;1;;;;
Входит Карп.;;1;;;;;;
(Карпу).;;;;;1;;;
Карп уходит. Входят Восмибратов и Петр.;;1;1;;;;;
