text;setting;entrance;exit;business;delivery;modifier;location;unknown
Гостиная в доме Большова.;1;;;;;;;
(сидит у окна с книгой).;;;;1;;;;
(с жаром);;;;;1;;;
(Вздыхает.);;;;1;;;;
(Молчание.);;;;1;;;;
(Задумывается.);;;;1;;;;
(Дурно вальсируя.);;;;1;;;;
Липочка и Аграфена Кондратьевна.;;1;;;;;;
(входя).;;1;;;;;;
(преследуя ее).;;;;1;;;;
(Бегает за ней.);;;;1;;;;
(Садится.);;;;1;;;;
(Шепчет в сторону.);;;;;1;;;
(Плачет.);;;;1;;;;
(Плачет.);;;;1;;;;
(стоит и смотрит на нее).;;;;1;;;;
Липочка плачет громче и потом рыдает.;;;;;1;;;
Липочка плачет.;;;;1;;;;
(Сквозь слезы.);;;;;1;;;
(плачет);;;;1;;;;
(Плачут обе вместе.);;;;1;;;;
(плача).;;;;1;;;;
(сквозь слезы).;;;;;1;;;
(Плачет.);;;;1;;;;
(Целуются.);;;;1;;;;
(Обтирает.);;;;1;;;;
(голосом, еще неуспокоившимся).;;;;;1;;;
Те же и Фоминишна.;;1;;;;;;
Те же и Устинья Наумовна.;;1;;;;;;
(входя).;;1;;;;;;
(Целуясь.);;;;1;;;;
(Целуясь с Липочкой.);;;;1;;;;
(Фоминишне).;;;;;1;;;
(садясь).;;;;1;;;;
(Уходит.);;;1;;;;;
Те же без Фоминишны.;;1;;;;;;
Те же и Фоминишна, входит, ставит на стол водку с закуской.;;1;;1;;;;
(Смотрит в зеркало.);;;;1;;;;
Уходят.;;;1;;;;;
Аграфена Кондратьевна и Устинья Наумовна.;;1;;;;;;
(наливает).;;;;1;;;;
(Пьет.);;;;1;;;;
(Пьет.);;;;1;;;;
Те же и Рисположенский.;;1;;;;;;
(входя).;;1;;;;;;
(Пьет.);;;;1;;;;
(Пьет.);;;;1;;;;
(садится).;;;;1;;;;
Входит Большов.;;1;;;;;;
Те же и Большов.;;1;;;;;;
(кланяется).;;;;1;;;;
(садясь).;;;;1;;;;
(Пьет.);;;;1;;;;
Уходят.;;;1;;;;;
Большов и Рисположенский.;;1;;;;;;
(Пьет.);;;;1;;;;
(Пьет.);;;;1;;;;
Те же и Подхалюзин (входит).;;1;;;;;;
(Кланяется.);;;;1;;;;
(Кланяется.);;;;1;;;;
(Помолчав.);;;;1;;;;
Рисположенский смеется.;;;;1;;;;
(Помолчав.);;;;1;;;;
(вынимая из кармана и подавая).;;;;1;;;;
(Надевает очки и просматривает.);;;;1;;;;
