text;setting;entrance;exit;business;delivery;modifier;location;unknown
(1598 года, 20 февраля);1;;;;;;;
Князья Шуйский и Воротынский.;;1;;;;;;
(глядит в окно);;;;1;;;;
Народ.;;1;;;;;;
(с Красного крыльца);;;;;;;1;
Народ расходится.;;;;1;;;;
Борис, патриарх, бояре.;;1;;;;;;
(Уходит, за ним и бояре.);;;1;;;;;
(останавливая Шуйского);;;;1;;;;
(1603 года);1;;;;;;;
Отец Пимен, Григорий спящий.;;1;;;;;;
(пишет перед лампадой);;;;1;;;;
(Пишет.);;;;1;;;;
(пробуждается);;;;1;;;;
(Уходит.);;;1;;;;;
Патриарх, игумен Чудова монастыря.;;1;;;;;;
Два стольника.;;1;;;;;;
Уходят.;;;1;;;;;
(входит);;1;;;;;;
Мисаил и Варлаам, бродяги-чернецы. Григорий Отрепьев, мирянином. хозяйка.;;1;;;;;;
(Уходит.);;;1;;;;;
(входит);;1;;;;;;
(Монахи пьют. Варлаам затягивает песню: «Как во городе было во Казани…»);;;;1;;;;
(Григорию);;;;;1;;;
(Пьет и поет: «Молодой чернец постригся…»).;;;;1;;;;
(хозяйке);;;;;1;;;
(про себя);;;;;1;;;
Слышен шум.;;;;1;;;;
Входят приставы.;;1;;;;;;
(другому);;;;;1;;;
(Монахам.);;;;;1;;;
(Григорию);;;;;1;;;
(тихо);;;;;1;;;
(тихо);;;;;1;;;
(плачет);;;;1;;;;
В продолжение Варлаамовой речи первый пристав значительно всматривается в Мисаила.;;;;1;;;;
(Варлааму);;;;;1;;;
(Мисаилу);;;;;1;;;
(выступает вперед);;;;1;;;;
(дает ему указ);;;;1;;;;
(читает);;;;1;;;;
(Мисаилу);;;;;1;;;
(смотря на Варлаама);;;;1;;;;
Все глядят на Варлаама.;;;;1;;;;
(вырывая бумагу);;;;1;;;;
(Читает по складам.);;;;1;;;;
(Григорию);;;;;1;;;
Во время чтения Григорий стоит потупя голову, с рукою за пазухой.;;;;1;;;;
(продолжает);;;;1;;;;
Григорий вдруг вынимает кинжал. все перед ним расступаются, он бросается в окно.;;;1;1;;;;
Все бегут в беспорядке.;;;;1;;;;
Шуйский, множество гостей. Ужин.;1;1;;;;;;
Встает, за ним и все.;;;;1;;;;
(пьет);;;;1;;;;
Гости уходят, он провожает их до дверей.;;;1;;;;;
(слугам);;;;;1;;;
(Идет к дверям и осматривает.);;;;1;;;1;
(Провожает Пушкина.);;;;1;;;;
Царевич, чертит географическую карту. Царевна, мамка царевны.;;1;;1;;;;
(целует портрет);;;;1;;;;
Входит Борис.;;1;;;;;;
Входит Семен Годунов.;;1;;;;;;
(Ксении.);;;;;1;;;
Ксения с мамкою уходит.;;;1;;;;;
Годунов уходит.;;;1;;;;;
Входит Шуйский.;;1;;;;;;
(тихо, указывая на Феодора);;;;1;1;;;
Феодор уходит.;;;1;;;;;
(спокойно);;;;;1;;;
Шуйский уходит.;;;1;;;;;
Самозванец и pater Черниковский.;;1;;;;;;
Входит слуга.;;1;;;;;;
Отворяются двери, входит толпа русских и поляков.;;1;;1;;;;
(Курбскому);;;;;1;;;
(бьет челом);;;;1;;;;
(приближается, кланяясь низко и хватая Гришку за полу);;;;1;;;;
(подает ему бумагу);;;;1;;;;
(Дает ему перстень.);;;;1;;;;
Ряд освещенных комнат. Музыка.;1;;;;;;;
Вишневецкий, Мнишек.;;1;;;;;;
Музыка играет польский. Самозванец идет с Мариною в первой паре.;;;;1;;;;
(тихо Димитрию);;;;;1;;;
Расходятся. Другая пара.;;;;1;;;;
Новая пара.;;;;1;;;;
Новая пара.;;;;1;;;;
Расходятся. комнаты пустеют.;;;1;1;;;;
(входит);;1;;;;;;
(входит);;1;;;;;;
(Идет к ней.);;;;1;;;;
(Молчание.);;;;1;;;;
(тихо);;;;;1;;;
(Вслух.);;;;;1;;;
(Бросается на колени.);;;;1;;;;
(встает);;;;1;;;;
(гордо);;;;;1;;;
(Уходит.);;;1;;;;;
(1604 года, 16 октября);1;;;;;;;
Князь Курбский и Самозванец, оба верхами.;;1;;;;;;
Полки приближаются к границе.;;;;1;;;;
(прискакав первый);;;;1;;;;
