text;setting;entrance;exit;business;delivery;modifier;location;unknown
Оснельда и Астрада;;1;;;;;;
(одна);;1;;;;;;
Оснельда и Хорев.;;1;;;;;;
Кий и Сталверх.;;1;;;;;;
Кий и Хорев.;;1;;;;;;
(один);;1;;;;;;
Кий и Астрада.;;1;;;;;;
Оснельда и Астрада;;1;;;;;;
Хорев, Оснельда и Астрада.;;1;;;;;;
(одна);;1;;;;;;
Оснельда и Астрада.;;;;;;;;
(отъемлет кинжал из рук ея);;;;1;;;;
Хорев, Оснельда и Астрада.;;1;;;;;;
(во время чтения);;;;1;;;;
Хорев, Оснельда и Велькар.;;1;;;;;;
Кий и Сталверх.;;1;;;;;;
(один);;1;;;;;;
Кий, Сталверх и два стража.;;1;;;;;;
(немного отошел);;;;1;;;;
Те же и невольник.;;1;;;;;;
Кий и Сталверх.;;1;;;;;;
(один);;1;;;;;;
Кий, Сталверх и Оснельда;;1;;;;;;
(говорит Сталверху нечто на ухо, Сталверх выходит, а Кий потом);;;1;1;;;;
(один);;1;;;;;;
Кий и Сталверх с кубком.;;1;;;;;;
Кий, Велькар с Завлоховым мечем и несколько воинов с ним.;;1;;;;;;
(единому из воинов);;;;;1;;;
Те же и посланный к княжне.;;1;;;;;;
Те же, Хорев и Завлох.;;1;;;;;;
Кий, Хорев, Завлох, Велькар и воины.;;1;;;;;;
(вошед);;1;;;;;;
Конец трагедии;;;;;;;;1
