text;setting;entrance;exit;business;delivery;modifier;location;unknown
Салтыков и Воейков.;;1;;;;;;
Звон во все кремлевские колокола.;;;;1;;;;
подходя к окну;;;;1;;;1;
Молчание. потом взрыв радостных криков.;;;;1;;;;
Трубы и дворцовые колокола. Рынды входят и становятся у престола. потом бояре. потом стряпчие с царской стряпней. потом ближние бояре. потом сам царь Борис, в полном облачении, с державой и скипетром. За ним царевич Федор. Борис всходит на подножие престола.;1;1;;;;;;
стоя на подножье;;;;1;;;;
Садится на престол.;;;;1;;;;
Царевич Федор садится по его правую руку.;;;;1;;;1;
опускаясь на колени;;;;1;;;;
Снимает с себя цепь и надевает на Воейкова.;;;;1;;;;
Федор кланяется.;;;;1;;;;
Трубный туш и литавры. Входит посол английский, предшествуемый двумя стольниками. за ним идет его свита и останавливается, не доходя престола. Посол подходит к престолу. стольники раздаются направо и налево. При входе следующих послов соблюдаются те же обряды.;1;1;;1;;;;
Ричард Ли отходит, предшествуемый стольниками.;;;1;;;;;
Трубы и литавры. Входит папский нунций.;;1;;1;;;;
Миранда отходит. Трубы и литавры. Входит посол австрийский.;;1;1;1;;;;
Логау отходит. Трубы и литавры. Входит посол литовский.;;1;1;1;;;;
Сапега отходит. Трубы и литавры. Входит посол шведский.;;1;1;1;;;;
Гендрихсон отходит. Трубы и литавры. Входит посол флорентийский.;;1;1;1;;;;
Люс отходит. Трубы и литавры. Входят ганзейские купцы: Гермерс и два ратсгерра, и подходят вместе к престолу. За ними идут слуги с дарами.;;1;1;1;;;;
махая шапками;;;;1;;;;
Купцы уходят. Трубы играют туш другого характера. Из других дверей входит посол персидский. перед ним идет Семен Годунов, которому Салтыков уступает место. За послом слуги его несут драгоценный престол.;;1;1;1;;;;
Трубы и литавры. Входит посол турецкий и становится рядом с персидским. Слуги его несут за ним дары.;;1;;1;;;;
Входит архимандрит Кирилл и падает на колени перед Борисом.;;1;;1;;;;
к Лачин-Беку;;;;;1;;;
Челибей уходит. Звон дворцовых колоколов. Входят боярыни, в большом наряде, по две в ряд. За ними царица Марья Григорьевна и царевна Ксения. Все кланяются им в пояс. Они садятся по обе стороны престола.;;1;1;1;;;;
с поклоном;;;;1;;;;
с поклоном;;;;1;;;;
Шум за дверьми. Входит стрелецкий голова.;;1;;1;;;;
Толпа народа вваливается в палату.;;1;;;;;;
кланяясь;;;;1;;;;
у дверей;;;;;;;1;
Входит новая толпа.;;1;;;;;;
Сходя с престола.;;;;1;;;;
Толпа народа, провожаемая боярами, идет во внутренние покои. Царевич Федор, царица, Ксения и боярыни следуют за ними. Палата остается пуста.;;;1;1;;;;
Один.;;1;;;;;;
Крилошанка вводит Бориса. За ним входит Семен Годунов.;;;1;;;;;
к крилошанке;;;;;1;;;
Крилошанка уходит.;;;1;;;;;
Смотрит в окно.;;;;1;;;;
докладывает;;;;1;;;;
Шуйский входит.;;1;;;;;;
Семен Годунов и Шуйский уходят. Дверь отворяется. Две инокини становятся по обе ее стороны. За ними входит царица Ирина, во иночестве Александра.;;1;1;1;;;;
Инокини уходят.;;;1;;;;;
Царевич Федор, царевна Ксения и герцог Христиан датский.;;1;;;;;;
