text;setting;entrance;exit;business;delivery;modifier;location;unknown
Анна Павловна, полная седая дама, в корсете, сидит одна за чайным столом.;1;;;;;;;
Анна Павловна и няня с чайником.;;1;;;;;;
Те же и Саша.;;1;;;;;;
(входит. К няне).;;1;;;1;;;
(Уходит.);;;1;;;;;
Анна Павловна и Саша.;;1;;;;;;
Те же. Входит горничная.;;1;;;;;;
(удивленно).;;;;;1;;;
(Саше.);;;;;1;;;
(качая головой, к горничной);;;;1;1;;;
Горничная берет самовар и уходит.;;;1;1;;;;
Анна Павловна и Саша.;;1;;;;;;
(к Саше, которая встала и хочет идти).;;;;1;1;;;
(Напевает и уходит.);;;1;1;;;;
Анна Павловна одна.;;1;;;;;;
(покачивает головой и бормочет).;;;;1;;;;
Анна Павловна и горничная.;;1;;;;;;
(входит).;;1;;;;;;
Горничная проходит во внутреннюю дверь.;;;1;;;;;
Анна Павловна и Виктор Каренин.;;1;;;;;;
(входит, здоровается с Анной Павловной).;;1;;1;;;;
(Грустно.);;;;;1;;;
(Оглядывается на дверь и торопится рассказать.);;;;1;;;;
Те же. Входят Саша и Лиза.;;1;;;;;;
(Здоровается с сестрами.);;;;1;;;;
(Саше.);;;;;1;;;
(Уходит с Сашей.);;;1;;;;;
Лиза и Каренин.;;1;;;;;;
(удерживает слезы)...;;;;1;;;;
(Удивленно.);;;;;1;;;
(встает).;;;;1;;;;
(Выжидает, потом кланяется и уходит.);;;1;1;;;;
Лиза одна.;;1;;;;;;
Лиза, входит Саша.;;1;;;;;;
Лиза делает утвердительный знак головой.;;;;1;;;;
Лиза молчит.;;;;1;;;;
(Уходит, хлопая дверью.);;;1;1;;;;
Лиза и Саша.;;1;;;;;;
(падает на стул).;;;;1;;;;
Те же и Анна Павловна.;;1;;;;;;
(молча проходит).;;;;1;;;;
(Уходит за ней и подмигивает сестре.);;;1;1;;;;
Занавес;;;;;;;;1
Комната у цыган. Хор поет «Канавелу». Федя лежит на диване ничком, без сюртука. Афремов на стуле верхом против запевалы. Офицер у стола, на котором стоит шампанское и стаканы. Тут же музыкант записывает.;;1;;;;;;
(поднимается).;;;;1;;;;
(Опять ложится.);;;;1;;;;
(к музыканту).;;;;;1;;;
(Подзывает к цыганке, которая смотрит.);;;;1;;;;
(Напевает.);;;;1;;;;
(поднимаясь).;;;;1;;;;
(Встает, садится перед ней и смотрит ей в глаза.);;;;1;;;;
Маша поет.;;;;1;;;;
(Музыканту.);;;;;1;;;
Цыгане поют.;;;;1;;;;
Поют. Афремов делает выходку. Цыгане улыбаются и, продолжая петь, хлопают. Афремов садится. Песня кончается.;;;;1;;;;
Те же. Входит цыган.;;1;;;;;;
(к Феде).;;;;;1;;;
Те же, без цыгана.;;1;;;;;;
(Встает, шатаясь.);;;;1;;;;
Маша уходит и что-то говорит по-цыгански с своими.;;;1;1;;;;
Те же, без Маши. Входит Каренин. Оглядывается.;;1;;1;;;;
Цыгане поют.;;;;1;;;;
(записывает).;;;;1;;;;
(Берет гитару и подсаживается к Кате.);;;;1;;;;
(берет письмо, читает, хмурится, потом ласково улыбается).;;;;1;;;;
(слушает молча, глядя ему в лицо).;;;;1;;;;
(Подходит к столу и пьет.);;;;1;;;;
Каренин хочет что-то сказать. Входит Маша.;;1;;1;;;;
Те же и Маша. Потом цыгане.;;1;;;;;;
(перебивает его).;;;;1;;;;
Цыгане сходятся.;;;;1;;;;
(шепотом).;;;;;1;;;
(смеется).;;;;1;;;;
Цыгане поют.;;;;1;;;;
(сконфуженно слушает, потом спрашивает).;;;;1;;;;
Каренин дает.;;;;1;;;;
Те же, без Каренина.;;1;;;;;;
(Оглядывается.);;;;1;;;;
Цыгане разбредаются.;;;1;;;;1;
(Махает рукой, подходит к Маше, садится на диван рядом с ней.);;;;1;;;;
(Вынимает из кармана штанов.);;;;1;;;;
Маша смеется, берет деньги и прячет в пазуху.;;;;1;;;;
(цыганам).;;;;;1;;;
(Целует ее.);;;;1;;;;
Цыгане и цыганки уходят. Остаются парочки: Федя с Машей, Афремов с Катей, офицер с Гашей. Музыкант пишет, цыган перебирает вальс на гитаре.;;1;1;1;;;;
Начинают петь.;;;;1;;;;
Занавес;;;;;;;;1
После первого действия прошло две недели. У Лизы. Каренин и Анна Павловна сидят в столовой. Саша выходит из двери.;1;;;;;;;
(Указывая на корзинку.);;;;1;;;;
(улыбаясь).;;;;1;;;;
Те же. Выходят доктор и Лиза.;;1;;;;;;
(внушительно).;;;;;1;;;
(Садится к столу.);;;;1;;;;
Саша приносит бумагу, чернила.;;;;1;;;;
(улыбаясь).;;;;1;;;;
(Пишет.);;;;1;;;;
Анна Павловна стоит над доктором.;;;;1;;;;
(Жмет ему руку.);;;;1;;;;
Саша сердито отходит к доктору.;;;;1;;;;
(Опять жмет руку и смеется, показывая монету, оставшуюся у ней в руке.);;;;1;;;;
(улыбается).;;;;1;;;;
(подходит).;;;;1;;;;
(встает и дает рецепт).;;;;1;;;;
(Продолжает наставление.);;;;1;;;;
Каренин у стола пьет чай. Отходят вперед Анна Павловна и Саша.;;;1;1;;;1;
Доктор уходит, прощается со всеми. Анна Павловна идет провожать его.;;;1;1;;;;
Лиза, Каренин и Саша.;;1;;;;;;
(Каренину).;;;;;1;;;
(Всхлипывает.);;;;1;;;;
Уходят.;;;1;;;;;
Саша и Анна Павловна.;;1;;;;;;
(возвращается).;;1;;;;;;
Анна Павловна и Лиза.;;1;;;;;;
(к матери).;;;;;1;;;
Лиза вздыхает молча.;;;;1;;;;
Занавес;;;;;;;;1
У Афремова в кабинете. Вино в налитых стаканах. Гости.;;1;;;;;;
Афремов, Федя, Стахович мохнатый, Буткевич бритый, Коротков, прихвостень.;;1;;;;;;
(кричит).;;;;1;;;;
Входит лакей.;;1;;;;;;
Те же и лакей.;;1;;;;;;
(испуганно).;;;;;1;;;
(Лакею.);;;;;1;;;
(Уходит.);;;1;;;;;
Те же, без Феди и лакея.;;1;;;;;;
(Уходит.);;;1;;;;;
Те же, без Афремова.;;1;;;;;;
Те же и Афремов.;;1;;;;;;
(входит).;;1;;;;;;
Уходят, разговаривая.;;;1;1;;;;
Входят Федя и Саша.;;1;;;;;;
(смущенно).;;;;;1;;;
(Голос ее дрожит.);;;;;1;;;
(ходит по комнате. Саша села, смотрит на него).;;;;1;;;;
(Держит в руке письмо и гнет.);;;;1;;;;
Молчание. Оба смущены.;;;;1;;;;
(встает).;;;;1;;;;
(Целует ее в лоб.);;;;1;;;;
(взволнованная).;;;;1;;;;
(показывает на себя);;;;1;;;;
(Голос дрожит.);;;;;1;;;
(Целует ее в голову и отворяет дверь.);;;;1;;;;
Саша уходит.;;;1;;;;;
Федя один.;;1;;;;;;
(Звонит.);;;;1;;;;
Федя и лакей.;;1;;;;;;
Лакей уходит.;;;1;;;;;
Федя один.;;1;;;;;;
Входит Афремов.;;1;;;;;;
Занавес;;;;;;;;1
Князь Абрезков — 60-летний элегантный холостяк. Бритый, с усами. Старый военный с большим достоинством и грустью. Анна Дмитриевна Каренина — мать Виктóра, молодящаяся, 50 лет, grand-dame. Перебивает речь французскими словами. Лиза, Виктóр, лакей. Кабинет Анны Дмитриевны, роскошно-скромный, полон сувениров.;1;;;;;;;
Анна Дмитриевна пишет письмо.;;;;1;;;;
Анна Дмитриевна и лакей.;;1;;;;;;
(Оборачивается и поправляется перед зеркалом.);;;;1;;;;
Анна Дмитриевна и князь Абрезков.;;1;;;;;;
(входит).;;1;;;;;;
(Целует руку.);;;;1;;;;
(смотрит на часы),;;;;1;;;;
(улыбаясь).;;;;1;;;;
Анна Дмитриевна, князь Абрезков, входит Каренин, целует руку матери, здоровается с князем Абрезковым.;;1;;1;;;;
(перебивая его).;;;;1;;;;
(продолжая речь и хмурясь).;;;;1;;;;
(к князю Абрезкову).;;;;;1;;;
(к Виктору).;;;;;1;;;
Анна Дмитриевна, князь Абрезков, Каренин и лакей входит.;;1;;;;;;
Князь Абрезков тоже встает.;;;;1;;;;
(К князю Абрезкову.);;;;;1;;;
Анна Дмитриевна и князь Абрезков.;;1;;;;;;
(Суетится.);;;;1;;;;
Те же. Входит Лиза в шляпе, в визитном платье.;;1;;;;;;
(приподнимаясь).;;;;1;;;;
(Указывает на князя Абрезкова.);;;;1;;;;
(Shake hands. Садятся.);;;;1;;;;
(Оглядываясь робко на Анну Дмитриевну.);;;;1;;;;
(К Анне Дмитриевне.);;;;;1;;;
Неловкое молчание.;;;;1;;;;
Опять молчание.;;;;1;;;;
(Всхлипывает.);;;;1;;;;
(Прощается с обеими женщинами и уходит.);;;1;1;;;;
Анна Дмитриевна и Лиза.;;1;;;;;;
(Целует ее. Лиза плачет.);;;;1;;;;
Те же и Каренин.;;1;;;;;;
(выходя).;;;1;;;;;
(Целует ее.);;;;1;;;;
Занавес;;;;;;;;1
