text;setting;entrance;exit;business;delivery;modifier;location;unknown
Театр представляет гостиную не богатого, но и не бедного чиновника. Направо два окна. между окнами зеркало. столик перед зеркалом. Прямо дверь в переднюю, налево дверь в другую комнату. Спереди тоже налево диван, круглый стол и несколько кресел. угол направо отгорожен зелеными ширмами. На диване лежит Стратилат. Стенные часы бьют два часа.;1;;;;;;;
(Молчит.);;;;1;;;;
(Опять молчит.);;;;1;;;;
(Посвистывает, берет со стола и развертывает книгу.);;;;1;;;;
(Начинает разбирать по складам.);;;;1;;;;
В передней раздается звонок. Стратилат поднимается, но не выпускает книги из рук.;;;;1;;;1;
Опять звонок.;;;;1;;;;
(Бросает книгу на стол и бежит отворять.);;;;1;;;1;
(входит. У него под мышкой голова сахару. в одной руке бутылка, в другой дамский картон);;1;;1;;;;
(Указывая ему шеей и плечом на сахарную голову.);;;;1;;;;
Стратилат достает голову. Мошкин идет на авансцену. Стратилат хочет идти.;;;;1;;;1;
(Ставит картон и бутылку на стол и вынимает из заднего кармана пакет.);;;;1;;;;
(помолчав немного).;;;;1;;;;
(Уходит.);;;1;;;;;
(ощупываясь).;;;;1;;;;
(Вынимая из кармана завернутую стклянку.);;;;1;;;;
(Кладет стклянку на стол.);;;;1;;;;
(Глядит на часы.);;;;1;;;;
(Опять глядит на часы.);;;;1;;;;
(Опуская руку в боковой карман.);;;;1;;;;
(Ходит по комнате.);;;;1;;;;
Входят Маланья и Стратилат. Мошкин живо обращается к ним.;;1;;;1;;;
(Маланье.);;;;;1;;;
(подавая ей со стола бутылку).;;;;1;;;;
Маланья уходит.;;;1;;;;;
Стратилат тоже уходит, Мошкин останавливается.;;;1;1;;;;
(Садится и утирает лицо платком.);;;;1;;;;
Раздается звонок.;;;;1;;;;
(Прислушивается.);;;;1;;;;
(входит).;;1;;;;;;
(торопливо).;;;;1;;;;
Стратилат выходит Мошкин с волнением смотрит на дверь. Входит Шпуньдик. На нем длинный гороховый сюртук.;;1;1;1;;;;
(подходя к Мошкину).;;;;1;;;;
(с дружелюбным упреком).;;;;;1;;;
(вглядываясь).;;;;1;;;;
Шпуньдик раскрывает объятия.;;;;1;;;;
Бросаются друг другу на шею.;;;;1;;;;
(прерывающимся голосом).;;;;;1;;;
Они опять обнимаются.;;;;1;;;;
Оба садятся и глядят друг на друга.;;;;1;;;;
(перебивая его).;;;;1;;;;
(качая головой);;;;1;;;;
(Треплет его по ляжке и отнимает у него картуз.);;;;1;;;;
(со вздохом).;;;;;1;;;
(помолчав немного).;;;;1;;;;
(Взглядывает на дверь.);;;;1;;;;
(Потирая руки.);;;;1;;;;
(глядя ему прямо в глаза).;;;;1;;;;
(смеясь).;;;;1;;;;
(указывая на стол).;;;;1;;;;
(Указывая на ширмы.);;;;1;;;;
(Со вздохом.);;;;;1;;;
(Вынимая табакерку.);;;;1;;;;
(сильно понюхав табаку).;;;;1;;;;
(Встает, показывает Шпуньдику, как, и опять садится.);;;;1;;;;
(Складывает руки крестом.);;;;1;;;;
(Делает значительные движения.);;;;1;;;;
(Взглянув на себя.);;;;1;;;;
(вставая).;;;;1;;;;
(вставая тоже).;;;;1;;;;
(Берет картуз.);;;;1;;;;
(Пожимая ему руку.);;;;1;;;;
(указывая на покупки);;;;1;;;;
(жмет ему руку).;;;;1;;;;
(Тоже жмет ему руку.);;;;1;;;;
(который собирался идти).;;;;1;;;;
В передней раздается звонок.;;;;1;;;1;
(прислушиваясь).;;;;1;;;;
(в волнении, оглядываясь).;;;;1;1;;;
Входит Маша с Пряжкиной, в салопах. Они их не снимают.;;1;;;;;;
(увидя их).;;;;1;;;;
(Маше.);;;;;1;;;
Шпуньдик кланяется. Маша приседает. Пряжкина глядит на Шпуньдика во все глаза.;;;;1;;;;
(Маше).;;;;;1;;;
(Шаркает.);;;;1;;;;
(Маше.);;;;;1;;;
(слабым голосом).;;;;;1;;;
(Пряжкиной).;;;;;1;;;
Отдает ей покупки. Маша и Пряжкина уходят в дверь налево. Мошкин обращается к Шпуньдику.;;;1;1;1;;;
(Уходит в переднюю.);;;;1;;;1;
(кричит ему вслед).;;;;1;;;;
(Ходит по комнате.);;;;1;;;;
(Останавливается.);;;;1;;;;
Стратилат входит.;;1;;;;;;
Снимает сюртук и шейный платок. Стратилат идет за ширмы, выносит оттуда фрак и другой галстук. Мошкин глядится в зеркало.;;;;1;;;;
(Проводит щеткой по голове, начиная с затылка.);;;;1;;;;
(С помощью Стратилата надевает галстук.);;;;1;;;;
(с неудовольствием).;;;;;1;;;
(плюет).;;;;1;;;;
(вдруг входя из передней).;;1;;;;;1;
(круто оборачиваясь к ней).;;;;;1;;;
(Хватаясь за голову.);;;;1;;;;
(Роется в жилете.);;;;1;;;;
(смотрит на часы);;;;1;;;;
(вполголоса уходящей Маланье).;;;;;1;;;
Надевает фрак. Стратилат обдергивает его сзади.;;;;1;;;;
Стратилат выходит в переднюю.;;;1;;;;1;
(Садится и глядит на часы.);;;;1;;;;
(Оглядывается.);;;;1;;;;
Встает и сметает платком пыль со стола. Звонок.;;;;1;;;;
(входит и докладывает).;;1;;;;;;
(заикается);;;;;1;;;
(шепотом Стратилату).;;;;;1;;;
(тоже шепотом).;;;;;1;;;
(шепотом).;;;;;1;;;
(Громко.);;;;;1;;;
Стратилат выходит. Входят Вилицкий и Фонк во фраках. Вилицкий бледен и как будто смущен. Фонк держит себя необыкновенно важно, строго и чинно.;;1;1;1;;;;
(Мошкину).;;;;;1;;;
Фонк чопорно кланяется.;;;;1;;;;
(не без смущения).;;;;1;;;;
(Кланяется.);;;;1;;;;
Небольшое молчание.;;;;1;;;;
Все садятся. Опять воцаряется молчание. Фонк с достоинством оглядывает всю комнату. Мошкин, откашлявшись.;;;;1;;;;
(Вилицкому чрезвычайно мягким голосом.);;;;;1;;;
Фонк делает едва заметное движение бровями при слове «тебя».;;;;1;;;;
(Фонку.);;;;1;;;;
(Помолчав немного.);;;;1;;;;
(не без робости).;;;;;1;;;
(Помолчав опять.);;;;1;;;;
(С улыбкой.);;;;;1;;;
(указывая на Вилицкого);;;;1;;;;
(Помолчав немного.);;;;1;;;;
(Неопределенно указывая на Вилицкого и на дверь налево.);;;;1;;;;
(он значительно выговаривает это слово);;;;1;;;;
(с благоговением выслушивая Фонка).;;;;1;;;;
(он поднимает брови);;;;1;;;;
(еще с большим благоговением).;;;;1;;;;
(слегка жмурясь).;;;;1;;;;
(поспешно перебивая его).;;;;1;;;;
(Фонку.);;;;;1;;;
Вилицкий выходит в дверь налево.;;;1;;;;1;
(глядит ему вслед, пододвигается к Фонку и берет его за руку).;;;;1;;;;
(с холодной учтивостью).;;;;;1;;;
(У него слезы навертываются.);;;;1;;;;
(Понизив голос, словно самому себе говорит.);;;;;1;;;
(Смеется, достает платок, сморкается и украдкой утирает глаза.);;;;1;;;;
(оправившись).;;;;1;;;;
(опять впадая в благоговение).;;;;1;;;;
(Помолчав немного.);;;;1;;;;
(с уважением).;;;;;1;;;
(Помолчав.);;;;1;;;;
Г-жа Пряжкина выходит из боковой двери, разряженная в пух, с большим бантом желтых лент на чепце, она тихонько подвигается к говорящим, слегка приседая им в спину и перебирая снурки ридикюля.;;1;;1;;;;
Мошкин внимательно слушает.;;;;1;;;;
Вертит рукой на воздухе. Мошкин также вертит рукой и одобрительно кивает головой.;;;;1;;;;
Михайло Иваныч делает движение, как бы желая сказать: о, помилуйте!;;;;1;;;;
(скромно, но громко кашляя дискантом).;;;;;1;;;
Фонк останавливается и оглядывается. Мошкин оглядывается тоже. Пряжкина приседает.;;;;1;;;;
(с некоторой досадой).;;;;;1;;;
Фонк медленно приподнимается. Мошкин тоже встает.;;;;1;;;;
(с смущением).;;;;;1;;;
(Спохватившись.);;;;1;;;;
(холодно кланяясь).;;;;1;;;;
Пряжкина опять приседает.;;;;1;;;;
(Пряжкиной).;;;;;1;;;
(с укоризной).;;;;;1;;;
(Украдкой указывая ей на Фонка.);;;;1;;;;
(поднимая руку).;;;;1;;;;
(Уходя с Пряжкиной, он ей высказывает свое неудовольствие.);;;1;1;;;;
